date,year,side,pnl,cum_pnl,drawdown
2021-04-09,2021,LONG,520.0,520.0,0.0
2021-04-13,2021,LONG,420.0,940.0,0.0
2021-04-14,2021,SHORT,-545.0,395.0,-545.0
2021-04-15,2021,LONG,-295.0,100.0,-840.0
2021-04-19,2021,SHORT,435.0,535.0,-405.0
2021-04-20,2021,SHORT,-865.0,-330.0,-1270.0
2021-04-21,2021,LONG,330.0,0.0,-940.0
2021-04-22,2021,SHORT,505.0,505.0,-435.0
2021-04-23,2021,LONG,35.0,540.0,-400.0
2021-04-26,2021,LONG,-560.0,-20.0,-960.0
2021-04-27,2021,SHORT,-150.0,-170.0,-1110.0
2021-04-29,2021,SHORT,415.0,245.0,-695.0
2021-05-03,2021,SHORT,280.0,525.0,-415.0
2021-05-04,2021,SHORT,135.0,660.0,-280.0
2021-05-05,2021,SHORT,1250.0,1910.0,0.0
2021-05-10,2021,SHORT,-270.0,1640.0,-270.0
2021-05-11,2021,LONG,570.0,2210.0,0.0
2021-05-12,2021,SHORT,555.0,2765.0,0.0
2021-05-14,2021,LONG,-290.0,2475.0,-290.0
2021-05-19,2021,LONG,1235.0,3710.0,0.0
2021-05-20,2021,LONG,285.0,3995.0,0.0
2021-05-21,2021,SHORT,-145.0,3850.0,-145.0
2021-05-24,2021,LONG,-205.0,3645.0,-350.0
2021-06-04,2021,LONG,-165.0,3480.0,-515.0
2021-06-10,2021,LONG,-235.0,3245.0,-750.0
2021-06-14,2021,LONG,205.0,3450.0,-545.0
2021-06-15,2021,SHORT,110.0,3560.0,-435.0
2021-06-16,2021,SHORT,-1620.0,1940.0,-2055.0
2021-06-17,2021,LONG,375.0,2315.0,-1680.0
2021-06-21,2021,LONG,-370.0,1945.0,-2050.0
2021-06-22,2021,LONG,715.0,2660.0,-1335.0
2021-06-28,2021,LONG,90.0,2750.0,-1245.0
2021-07-02,2021,LONG,300.0,3050.0,-945.0
2021-07-07,2021,SHORT,265.0,3315.0,-680.0
2021-07-08,2021,LONG,-325.0,2990.0,-1005.0
2021-07-09,2021,LONG,-155.0,2835.0,-1160.0
2021-07-13,2021,LONG,-565.0,2270.0,-1725.0
2021-07-15,2021,SHORT,125.0,2395.0,-1600.0
2021-07-16,2021,SHORT,370.0,2765.0,-1230.0
2021-07-20,2021,LONG,415.0,3180.0,-815.0
2021-07-21,2021,LONG,105.0,3285.0,-710.0
2021-07-22,2021,LONG,55.0,3340.0,-655.0
2021-07-23,2021,LONG,-165.0,3175.0,-820.0
2021-07-27,2021,SHORT,175.0,3350.0,-645.0
2021-07-29,2021,LONG,-410.0,2940.0,-1055.0
2021-07-30,2021,LONG,-105.0,2835.0,-1160.0
2021-08-10,2021,SHORT,40.0,2875.0,-1120.0
2021-08-11,2021,SHORT,-145.0,2730.0,-1265.0
2021-08-12,2021,LONG,110.0,2840.0,-1155.0
2021-08-19,2021,LONG,700.0,3540.0,-455.0
2021-08-20,2021,LONG,345.0,3885.0,-110.0
2021-08-23,2021,LONG,-270.0,3615.0,-380.0
2021-08-27,2021,LONG,45.0,3660.0,-335.0
2021-08-30,2021,LONG,-140.0,3520.0,-475.0
2021-09-02,2021,SHORT,245.0,3765.0,-230.0
2021-09-03,2021,LONG,-15.0,3750.0,-245.0
2021-09-08,2021,SHORT,-50.0,3700.0,-295.0
2021-09-10,2021,SHORT,1175.0,4875.0,0.0
2021-09-13,2021,SHORT,-910.0,3965.0,-910.0
2021-09-14,2021,SHORT,620.0,4585.0,-290.0
2021-09-15,2021,LONG,420.0,5005.0,0.0
2021-09-16,2021,LONG,45.0,5050.0,0.0
2021-09-17,2021,SHORT,180.0,5230.0,0.0
2021-09-20,2021,SHORT,-760.0,4470.0,-760.0
2021-09-23,2021,LONG,-240.0,4230.0,-1000.0
2021-09-24,2021,LONG,65.0,4295.0,-935.0
2021-09-28,2021,SHORT,720.0,5015.0,-215.0
2021-10-04,2021,SHORT,830.0,5845.0,0.0
2021-10-05,2021,LONG,-550.0,5295.0,-550.0
2021-10-06,2021,LONG,240.0,5535.0,-310.0
2021-10-12,2021,SHORT,35.0,5570.0,-275.0
2021-10-14,2021,LONG,-180.0,5390.0,-455.0
2021-10-18,2021,LONG,255.0,5645.0,-200.0
2021-10-21,2021,LONG,560.0,6205.0,0.0
2021-10-22,2021,SHORT,175.0,6380.0,0.0
2021-10-25,2021,LONG,-75.0,6305.0,-75.0
2021-10-27,2021,LONG,-830.0,5475.0,-905.0
2021-10-28,2021,LONG,-65.0,5410.0,-970.0
2021-10-29,2021,LONG,-35.0,5375.0,-1005.0
2021-11-02,2021,LONG,80.0,5455.0,-925.0
2021-11-03,2021,LONG,260.0,5715.0,-665.0
2021-11-04,2021,LONG,15.0,5730.0,-650.0
2021-11-09,2021,SHORT,385.0,6115.0,-265.0
2021-11-10,2021,SHORT,-1085.0,5030.0,-1350.0
2021-11-11,2021,SHORT,190.0,5220.0,-1160.0
2021-11-12,2021,LONG,455.0,5675.0,-705.0
2021-11-15,2021,SHORT,-460.0,5215.0,-1165.0
2021-11-16,2021,LONG,-140.0,5075.0,-1305.0
2021-11-22,2021,SHORT,410.0,5485.0,-895.0
2021-11-23,2021,SHORT,30.0,5515.0,-865.0
2021-11-24,2021,LONG,540.0,6055.0,-325.0
2021-11-29,2021,LONG,185.0,6240.0,-140.0
2021-11-30,2021,SHORT,515.0,6755.0,0.0
2021-12-01,2021,SHORT,3135.0,9890.0,0.0
2021-12-02,2021,LONG,-225.0,9665.0,-225.0
2021-12-03,2021,SHORT,-770.0,8895.0,-995.0
2021-12-06,2021,LONG,330.0,9225.0,-665.0
2021-12-07,2021,LONG,-610.0,8615.0,-1275.0
2021-12-09,2021,SHORT,665.0,9280.0,-610.0
2021-12-13,2021,SHORT,810.0,10090.0,0.0
2021-12-16,2021,SHORT,-1070.0,9020.0,-1070.0
2021-12-17,2021,LONG,-575.0,8445.0,-1645.0
2021-12-21,2021,LONG,-650.0,7795.0,-2295.0
2021-12-22,2021,LONG,50.0,7845.0,-2245.0
2021-12-23,2021,LONG,-460.0,7385.0,-2705.0
2021-12-27,2021,LONG,-85.0,7300.0,-2790.0
2021-12-28,2021,SHORT,-110.0,7190.0,-2900.0
2022-01-04,2022,SHORT,-1270.0,5920.0,-4170.0
2022-01-05,2022,SHORT,1265.0,7185.0,-2905.0
2022-01-06,2022,LONG,-330.0,6855.0,-3235.0
2022-01-07,2022,SHORT,475.0,7330.0,-2760.0
2022-01-11,2022,LONG,100.0,7430.0,-2660.0
2022-01-13,2022,SHORT,735.0,8165.0,-1925.0
2022-01-14,2022,LONG,1180.0,9345.0,-745.0
2022-01-21,2022,SHORT,890.0,10235.0,0.0
2022-01-25,2022,LONG,-3500.0,6735.0,-3500.0
2022-01-26,2022,SHORT,1700.0,8435.0,-1800.0
2022-01-27,2022,SHORT,235.0,8670.0,-1565.0
2022-01-31,2022,LONG,-855.0,7815.0,-2420.0
2022-02-04,2022,LONG,335.0,8150.0,-2085.0
2022-02-11,2022,SHORT,20.0,8170.0,-2065.0
2022-02-17,2022,SHORT,795.0,8965.0,-1270.0
2022-02-23,2022,SHORT,145.0,9110.0,-1125.0
2022-02-24,2022,LONG,625.0,9735.0,-500.0
2022-03-01,2022,SHORT,350.0,10085.0,-150.0
2022-03-02,2022,LONG,490.0,10575.0,0.0
2022-03-03,2022,SHORT,105.0,10680.0,0.0
2022-03-04,2022,SHORT,-850.0,9830.0,-850.0
2022-03-07,2022,SHORT,180.0,10010.0,-670.0
2022-03-14,2022,SHORT,80.0,10090.0,-590.0
2022-03-15,2022,LONG,1180.0,11270.0,0.0
2022-03-17,2022,LONG,-155.0,11115.0,-155.0
2022-03-18,2022,LONG,1105.0,12220.0,0.0
2022-03-22,2022,LONG,-40.0,12180.0,-40.0
2022-03-24,2022,LONG,1090.0,13270.0,0.0
2022-03-28,2022,LONG,90.0,13360.0,0.0
2022-04-04,2022,LONG,230.0,13590.0,0.0
2022-04-05,2022,SHORT,965.0,14555.0,0.0
2022-04-12,2022,SHORT,915.0,15470.0,0.0
2022-04-13,2022,LONG,740.0,16210.0,0.0
2022-04-14,2022,SHORT,150.0,16360.0,0.0
2022-04-19,2022,LONG,1185.0,17545.0,0.0
2022-04-20,2022,SHORT,-945.0,16600.0,-945.0
2022-04-21,2022,SHORT,-160.0,16440.0,-1105.0
2022-04-22,2022,SHORT,-685.0,15755.0,-1790.0
2022-04-25,2022,LONG,770.0,16525.0,-1020.0
2022-04-26,2022,SHORT,2440.0,18965.0,0.0
2022-04-28,2022,LONG,205.0,19170.0,0.0
2022-04-29,2022,SHORT,965.0,20135.0,0.0
2022-05-04,2022,LONG,2410.0,22545.0,0.0
2022-05-05,2022,SHORT,1905.0,24450.0,0.0
2022-05-09,2022,SHORT,1215.0,25665.0,0.0
2022-05-11,2022,SHORT,500.0,26165.0,0.0
2022-05-13,2022,LONG,1405.0,27570.0,0.0
2022-05-18,2022,SHORT,215.0,27785.0,0.0
2022-05-20,2022,SHORT,-1735.0,26050.0,-1735.0
2022-05-25,2022,LONG,360.0,26410.0,-1375.0
2022-05-26,2022,LONG,-1030.0,25380.0,-2405.0
2022-05-27,2022,LONG,745.0,26125.0,-1660.0
2022-06-02,2022,LONG,30.0,26155.0,-1630.0
2022-06-06,2022,SHORT,440.0,26595.0,-1190.0
2022-06-07,2022,LONG,485.0,27080.0,-705.0
2022-06-16,2022,SHORT,-1390.0,25690.0,-2095.0
2022-06-17,2022,LONG,360.0,26050.0,-1735.0
2022-06-21,2022,LONG,-75.0,25975.0,-1810.0
2022-06-22,2022,LONG,-1405.0,24570.0,-3215.0
2022-06-24,2022,LONG,-35.0,24535.0,-3250.0
2022-06-27,2022,SHORT,10.0,24545.0,-3240.0
2022-06-28,2022,SHORT,80.0,24625.0,-3160.0
2022-07-05,2022,LONG,680.0,25305.0,-2480.0
2022-07-06,2022,LONG,315.0,25620.0,-2165.0
2022-07-07,2022,LONG,115.0,25735.0,-2050.0
2022-07-08,2022,LONG,-460.0,25275.0,-2510.0
2022-07-11,2022,SHORT,130.0,25405.0,-2380.0
2022-07-12,2022,SHORT,1470.0,26875.0,-910.0
2022-07-13,2022,LONG,-980.0,25895.0,-1890.0
2022-07-14,2022,LONG,350.0,26245.0,-1540.0
2022-07-18,2022,SHORT,40.0,26285.0,-1500.0
2022-07-19,2022,LONG,90.0,26375.0,-1410.0
2022-07-20,2022,LONG,840.0,27215.0,-570.0
2022-07-21,2022,LONG,145.0,27360.0,-425.0
2022-07-22,2022,SHORT,-840.0,26520.0,-1265.0
2022-07-25,2022,SHORT,190.0,26710.0,-1075.0
2022-07-26,2022,SHORT,90.0,26800.0,-985.0
2022-07-27,2022,LONG,2030.0,28830.0,0.0
2022-07-28,2022,LONG,145.0,28975.0,0.0
2022-07-29,2022,LONG,605.0,29580.0,0.0
2022-08-03,2022,LONG,-135.0,29445.0,-135.0
2022-08-08,2022,SHORT,-320.0,29125.0,-455.0
2022-08-11,2022,SHORT,-15.0,29110.0,-470.0
2022-08-12,2022,LONG,375.0,29485.0,-95.0
2022-08-15,2022,LONG,410.0,29895.0,0.0
2022-08-19,2022,SHORT,-440.0,29455.0,-440.0
2022-08-22,2022,SHORT,-80.0,29375.0,-520.0
2022-08-26,2022,SHORT,420.0,29795.0,-100.0
2022-08-30,2022,SHORT,-1010.0,28785.0,-1110.0
2022-08-31,2022,SHORT,-805.0,27980.0,-1915.0
2022-09-02,2022,SHORT,-165.0,27815.0,-2080.0
2022-09-06,2022,SHORT,-240.0,27575.0,-2320.0
2022-09-07,2022,LONG,580.0,28155.0,-1740.0
2022-09-09,2022,LONG,315.0,28470.0,-1425.0
2022-09-13,2022,SHORT,1205.0,29675.0,-220.0
2022-09-19,2022,LONG,1240.0,30915.0,0.0
2022-09-21,2022,LONG,-4645.0,26270.0,-4645.0
2022-09-23,2022,SHORT,-1710.0,24560.0,-6355.0
2022-09-27,2022,SHORT,570.0,25130.0,-5785.0
2022-09-28,2022,LONG,845.0,25975.0,-4940.0
2022-09-29,2022,SHORT,-1095.0,24880.0,-6035.0
2022-10-03,2022,LONG,-20.0,24860.0,-6055.0
2022-10-04,2022,LONG,-480.0,24380.0,-6535.0
2022-10-05,2022,LONG,420.0,24800.0,-6115.0
2022-10-07,2022,SHORT,740.0,25540.0,-5375.0
2022-10-13,2022,LONG,-320.0,25220.0,-5695.0
2022-10-14,2022,SHORT,180.0,25400.0,-5515.0
2022-10-18,2022,SHORT,-285.0,25115.0,-5800.0
2022-10-21,2022,LONG,1200.0,26315.0,-4600.0
2022-10-24,2022,LONG,405.0,26720.0,-4195.0
2022-10-25,2022,LONG,815.0,27535.0,-3380.0
2022-10-27,2022,SHORT,-560.0,26975.0,-3940.0
2022-10-28,2022,LONG,140.0,27115.0,-3800.0
2022-11-01,2022,SHORT,550.0,27665.0,-3250.0
2022-11-02,2022,SHORT,2585.0,30250.0,-665.0
2022-11-04,2022,SHORT,-590.0,29660.0,-1255.0
2022-11-09,2022,SHORT,-700.0,28960.0,-1955.0
2022-11-10,2022,LONG,1035.0,29995.0,-920.0
2022-11-11,2022,LONG,-800.0,29195.0,-1720.0
2022-11-17,2022,LONG,-930.0,28265.0,-2650.0
2022-11-18,2022,SHORT,-835.0,27430.0,-3485.0
2022-11-23,2022,LONG,110.0,27540.0,-3375.0
2022-11-29,2022,SHORT,-110.0,27430.0,-3485.0
2022-11-30,2022,LONG,1555.0,28985.0,-1930.0
2022-12-02,2022,LONG,425.0,29410.0,-1505.0
2022-12-05,2022,SHORT,125.0,29535.0,-1380.0
2022-12-06,2022,SHORT,485.0,30020.0,-895.0
2022-12-13,2022,SHORT,-145.0,29875.0,-1040.0
2022-12-14,2022,SHORT,-100.0,29775.0,-1140.0
2022-12-15,2022,SHORT,-255.0,29520.0,-1395.0
2022-12-16,2022,SHORT,-810.0,28710.0,-2205.0
2022-12-19,2022,SHORT,220.0,28930.0,-1985.0
2022-12-21,2022,LONG,-340.0,28590.0,-2325.0
2022-12-22,2022,SHORT,-1035.0,27555.0,-3360.0
2022-12-27,2022,SHORT,-355.0,27200.0,-3715.0
2022-12-28,2022,SHORT,535.0,27735.0,-3180.0
2022-12-29,2022,LONG,315.0,28050.0,-2865.0
2023-01-03,2023,SHORT,-165.0,27885.0,-3030.0
2023-01-06,2023,LONG,-180.0,27705.0,-3210.0
2023-01-10,2023,LONG,-175.0,27530.0,-3385.0
2023-01-11,2023,LONG,390.0,27920.0,-2995.0
2023-01-13,2023,LONG,595.0,28515.0,-2400.0
2023-01-18,2023,SHORT,110.0,28625.0,-2290.0
2023-01-20,2023,LONG,540.0,29165.0,-1750.0
2023-01-23,2023,LONG,235.0,29400.0,-1515.0
2023-01-25,2023,LONG,110.0,29510.0,-1405.0
2023-01-27,2023,LONG,300.0,29810.0,-1105.0
2023-01-30,2023,SHORT,545.0,30355.0,-560.0
2023-01-31,2023,LONG,-685.0,29670.0,-1245.0
2023-02-01,2023,LONG,1700.0,31370.0,0.0
2023-02-07,2023,LONG,920.0,32290.0,0.0
2023-02-08,2023,SHORT,620.0,32910.0,0.0
2023-02-09,2023,SHORT,1250.0,34160.0,0.0
2023-02-13,2023,LONG,325.0,34485.0,0.0
2023-02-14,2023,LONG,110.0,34595.0,0.0
2023-02-15,2023,LONG,40.0,34635.0,0.0
2023-02-16,2023,LONG,-2790.0,31845.0,-2790.0
2023-02-21,2023,SHORT,305.0,32150.0,-2485.0
2023-03-01,2023,SHORT,65.0,32215.0,-2420.0
2023-03-02,2023,LONG,325.0,32540.0,-2095.0
2023-03-03,2023,LONG,10.0,32550.0,-2085.0
2023-03-07,2023,SHORT,-205.0,32345.0,-2290.0
2023-03-09,2023,SHORT,1520.0,33865.0,-770.0
2023-03-10,2023,SHORT,325.0,34190.0,-445.0
2023-03-13,2023,LONG,-1585.0,32605.0,-2030.0
2023-03-15,2023,LONG,15.0,32620.0,-2015.0
2023-03-16,2023,LONG,725.0,33345.0,-1290.0
2023-03-17,2023,SHORT,-720.0,32625.0,-2010.0
2023-03-28,2023,SHORT,-95.0,32530.0,-2105.0
2023-03-31,2023,LONG,990.0,33520.0,-1115.0
2023-04-04,2023,SHORT,0.0,33520.0,-1115.0
2023-04-05,2023,SHORT,355.0,33875.0,-760.0
2023-04-06,2023,LONG,50.0,33925.0,-710.0
2023-04-10,2023,LONG,-450.0,33475.0,-1160.0
2023-04-12,2023,SHORT,965.0,34440.0,-195.0
2023-04-13,2023,LONG,205.0,34645.0,0.0
2023-04-18,2023,SHORT,-280.0,34365.0,-280.0
2023-04-19,2023,LONG,-140.0,34225.0,-420.0
2023-04-25,2023,SHORT,-70.0,34155.0,-490.0
2023-04-26,2023,SHORT,-130.0,34025.0,-620.0
2023-04-27,2023,LONG,75.0,34100.0,-545.0
2023-04-28,2023,LONG,15.0,34115.0,-530.0
2023-05-02,2023,SHORT,55.0,34170.0,-475.0
2023-05-05,2023,LONG,-165.0,34005.0,-640.0
2023-05-08,2023,LONG,-425.0,33580.0,-1065.0
2023-05-12,2023,SHORT,-325.0,33255.0,-1390.0
2023-05-16,2023,LONG,-15.0,33240.0,-1405.0
2023-05-17,2023,LONG,160.0,33400.0,-1245.0
2023-05-18,2023,LONG,585.0,33985.0,-660.0
2023-05-22,2023,LONG,-370.0,33615.0,-1030.0
2023-05-23,2023,SHORT,15.0,33630.0,-1015.0
2023-05-26,2023,LONG,135.0,33765.0,-880.0
2023-05-30,2023,SHORT,130.0,33895.0,-750.0
2023-06-01,2023,LONG,-460.0,33435.0,-1210.0
2023-06-07,2023,SHORT,315.0,33750.0,-895.0
2023-06-08,2023,LONG,65.0,33815.0,-830.0
2023-06-12,2023,LONG,400.0,34215.0,-430.0
2023-06-15,2023,LONG,-425.0,33790.0,-855.0
2023-06-16,2023,SHORT,340.0,34130.0,-515.0
2023-06-22,2023,LONG,-625.0,33505.0,-1140.0
2023-06-26,2023,SHORT,185.0,33690.0,-955.0
2023-06-27,2023,LONG,535.0,34225.0,-420.0
2023-06-28,2023,LONG,-415.0,33810.0,-835.0
2023-06-30,2023,LONG,105.0,33915.0,-730.0
2023-07-05,2023,LONG,185.0,34100.0,-545.0
2023-07-07,2023,LONG,-975.0,33125.0,-1520.0
2023-07-13,2023,LONG,690.0,33815.0,-830.0
2023-07-17,2023,LONG,800.0,34615.0,-30.0
2023-07-18,2023,LONG,70.0,34685.0,0.0
2023-07-20,2023,SHORT,1060.0,35745.0,0.0
2023-07-21,2023,SHORT,430.0,36175.0,0.0
2023-07-25,2023,LONG,220.0,36395.0,0.0
2023-07-27,2023,SHORT,-495.0,35900.0,-495.0
2023-07-28,2023,LONG,-435.0,35465.0,-930.0
2023-08-02,2023,SHORT,1090.0,36555.0,0.0
2023-08-03,2023,LONG,-720.0,35835.0,-720.0
2023-08-04,2023,SHORT,-105.0,35730.0,-825.0
2023-08-09,2023,SHORT,445.0,36175.0,-380.0
2023-08-14,2023,LONG,165.0,36340.0,-215.0
2023-08-17,2023,SHORT,275.0,36615.0,0.0
2023-08-18,2023,LONG,115.0,36730.0,0.0
2023-08-21,2023,LONG,135.0,36865.0,0.0
2023-08-22,2023,SHORT,35.0,36900.0,0.0
2023-08-23,2023,LONG,405.0,37305.0,0.0
2023-08-24,2023,SHORT,715.0,38020.0,0.0
2023-08-25,2023,LONG,325.0,38345.0,0.0
2023-08-29,2023,LONG,425.0,38770.0,0.0
2023-08-30,2023,LONG,-310.0,38460.0,-310.0
2023-09-01,2023,SHORT,-470.0,37990.0,-780.0
2023-09-05,2023,LONG,-720.0,37270.0,-1500.0
2023-09-06,2023,SHORT,230.0,37500.0,-1270.0
2023-09-07,2023,LONG,-100.0,37400.0,-1370.0
2023-09-12,2023,SHORT,145.0,37545.0,-1225.0
2023-09-15,2023,SHORT,-505.0,37040.0,-1730.0
2023-09-20,2023,SHORT,865.0,37905.0,-865.0
2023-09-26,2023,SHORT,595.0,38500.0,-270.0
2023-09-28,2023,LONG,1315.0,39815.0,0.0
2023-09-29,2023,SHORT,460.0,40275.0,0.0
2023-10-03,2023,SHORT,630.0,40905.0,0.0
2023-10-04,2023,LONG,900.0,41805.0,0.0
2023-10-06,2023,LONG,275.0,42080.0,0.0
2023-10-09,2023,LONG,-130.0,41950.0,-130.0
2023-10-12,2023,SHORT,-455.0,41495.0,-585.0
2023-10-13,2023,SHORT,445.0,41940.0,-140.0
2023-10-16,2023,LONG,240.0,42180.0,0.0
2023-10-19,2023,SHORT,-95.0,42085.0,-95.0
2023-10-20,2023,SHORT,190.0,42275.0,0.0
2023-10-23,2023,LONG,-840.0,41435.0,-840.0
2023-10-25,2023,SHORT,-245.0,41190.0,-1085.0
2023-10-26,2023,SHORT,1020.0,42210.0,-65.0
2023-10-27,2023,SHORT,-660.0,41550.0,-725.0
2023-11-01,2023,LONG,1390.0,42940.0,0.0
