date,year,side,day_move_pts,atr14,entry_px,exit_px,gross_pts,pnl,cum_pnl,peak,drawdown
2021-04-09,2021,LONG,82.0,237.6,13771.25,13797.5,27.25,520.0,520.0,520.0,0.0
2021-04-13,2021,LONG,92.25,216.8,13970.25,13991.5,22.25,420.0,940.0,940.0,0.0
2021-04-14,2021,SHORT,-176.75,218.9,13803.0,13830.0,-26.0,-545.0,395.0,940.0,-545.0
2021-04-15,2021,LONG,72.25,211.7,14000.0,13985.5,-13.5,-295.0,100.0,940.0,-840.0
2021-04-19,2021,SHORT,-79.0,197.6,13885.25,13863.25,23.0,435.0,535.0,940.0,-405.0
2021-04-20,2021,SHORT,-130.5,200.2,13743.5,13786.5,-42.0,-865.0,-330.0,940.0,-1270.0
2021-04-21,2021,LONG,108.5,200.7,13855.25,13872.0,17.75,330.0,0.0,940.0,-940.0
2021-04-22,2021,SHORT,-139.5,195.4,13761.75,13736.25,26.5,505.0,505.0,940.0,-435.0
2021-04-23,2021,LONG,184.25,196.2,13962.0,13964.0,3.0,35.0,540.0,940.0,-400.0
2021-04-26,2021,LONG,87.5,191.5,14022.25,13994.5,-26.75,-560.0,-20.0,940.0,-960.0
2021-04-27,2021,SHORT,-66.25,193.6,13955.5,13962.75,-6.25,-150.0,-170.0,940.0,-1110.0
2021-04-29,2021,SHORT,-74.5,191.7,13969.25,13948.25,22.0,415.0,245.0,940.0,-695.0
2021-05-03,2021,SHORT,-102.0,198.1,13813.5,13799.25,15.25,280.0,525.0,940.0,-415.0
2021-05-04,2021,SHORT,-204.25,194.8,13478.5,13471.5,8.0,135.0,660.0,940.0,-280.0
2021-05-05,2021,SHORT,-86.5,205.9,13541.5,13478.75,63.75,1250.0,1910.0,1910.0,0.0
2021-05-10,2021,SHORT,-265.0,210.5,13380.5,13393.75,-12.25,-270.0,1640.0,1910.0,-270.0
2021-05-11,2021,LONG,217.25,223.7,13327.5,13356.25,29.75,570.0,2210.0,2210.0,0.0
2021-05-12,2021,SHORT,-97.25,229.8,13031.25,13003.25,29.0,555.0,2765.0,2765.0,0.0
2021-05-14,2021,LONG,184.75,245.0,13417.0,13402.75,-13.25,-290.0,2475.0,2765.0,-290.0
2021-05-19,2021,LONG,163.75,277.0,13148.5,13210.5,63.0,1235.0,3710.0,3710.0,0.0
2021-05-20,2021,LONG,213.5,280.1,13507.25,13521.75,15.5,285.0,3995.0,3995.0,0.0
2021-05-21,2021,SHORT,-109.5,296.8,13440.75,13447.75,-6.0,-145.0,3850.0,3995.0,-145.0
2021-05-24,2021,LONG,170.0,296.8,13680.0,13670.0,-9.0,-205.0,3645.0,3995.0,-350.0
2021-06-04,2021,LONG,165.0,200.0,13774.75,13766.75,-7.0,-165.0,3480.0,3995.0,-515.0
2021-06-10,2021,LONG,125.75,165.7,13957.5,13946.0,-10.5,-235.0,3245.0,3995.0,-750.0
2021-06-14,2021,LONG,48.0,150.4,14055.5,14066.0,11.5,205.0,3450.0,3995.0,-545.0
2021-06-15,2021,SHORT,-87.25,153.0,14020.75,14015.0,6.75,110.0,3560.0,3995.0,-435.0
2021-06-16,2021,SHORT,-133.75,159.3,13913.75,13994.5,-79.75,-1620.0,1940.0,3995.0,-2055.0
2021-06-17,2021,LONG,229.75,172.0,14165.5,14184.5,20.0,375.0,2315.0,3995.0,-1680.0
2021-06-21,2021,LONG,75.0,192.0,14128.0,14109.75,-17.25,-370.0,1945.0,3995.0,-2050.0
2021-06-22,2021,LONG,117.75,192.3,14238.0,14274.0,37.0,715.0,2660.0,3995.0,-1335.0
2021-06-28,2021,LONG,109.75,173.9,14505.0,14509.75,5.75,90.0,2750.0,3995.0,-1245.0
2021-07-02,2021,LONG,61.25,168.1,14689.75,14705.0,16.25,300.0,3050.0,3995.0,-945.0
2021-07-07,2021,SHORT,-56.25,165.2,14814.5,14801.0,14.5,265.0,3315.0,3995.0,-680.0
2021-07-08,2021,LONG,114.75,149.8,14709.0,14693.0,-15.0,-325.0,2990.0,3995.0,-1005.0
2021-07-09,2021,LONG,127.25,156.5,14822.0,14814.5,-6.5,-155.0,2835.0,3995.0,-1160.0
2021-07-13,2021,LONG,50.75,148.6,14903.25,14875.25,-27.0,-565.0,2270.0,3995.0,-1725.0
2021-07-15,2021,SHORT,-115.5,157.7,14776.75,14770.25,7.5,125.0,2395.0,3995.0,-1600.0
2021-07-16,2021,SHORT,-123.25,171.1,14703.5,14684.75,19.75,370.0,2765.0,3995.0,-1230.0
2021-07-20,2021,LONG,160.25,183.9,14753.75,14774.75,22.0,415.0,3180.0,3995.0,-815.0
2021-07-21,2021,LONG,85.75,198.1,14787.5,14793.0,6.5,105.0,3285.0,3995.0,-710.0
2021-07-22,2021,LONG,83.0,200.4,14924.25,14927.25,4.0,55.0,3340.0,3995.0,-655.0
2021-07-23,2021,LONG,115.25,191.8,15102.25,15094.25,-7.0,-165.0,3175.0,3995.0,-820.0
2021-07-27,2021,SHORT,-185.5,186.2,14920.5,14911.5,10.0,175.0,3350.0,3995.0,-645.0
2021-07-29,2021,LONG,70.5,195.2,15053.75,15033.5,-19.25,-410.0,2940.0,3995.0,-1055.0
2021-07-30,2021,LONG,85.0,191.5,14953.5,14948.5,-4.0,-105.0,2835.0,3995.0,-1160.0
2021-08-10,2021,SHORT,-91.75,158.9,15052.25,15050.0,3.25,40.0,2875.0,3995.0,-1120.0
2021-08-11,2021,SHORT,-84.75,158.8,15013.75,15020.75,-6.0,-145.0,2730.0,3995.0,-1265.0
2021-08-12,2021,LONG,76.0,162.5,15076.25,15082.0,6.75,110.0,2840.0,3995.0,-1155.0
2021-08-19,2021,LONG,161.25,155.6,14935.5,14970.75,36.25,700.0,3540.0,3995.0,-455.0
2021-08-20,2021,LONG,92.25,164.2,15064.5,15082.0,18.5,345.0,3885.0,3995.0,-110.0
2021-08-23,2021,LONG,206.25,173.1,15333.5,15320.25,-12.25,-270.0,3615.0,3995.0,-380.0
2021-08-27,2021,LONG,132.5,170.6,15434.75,15437.25,3.5,45.0,3660.0,3995.0,-335.0
2021-08-30,2021,LONG,161.75,173.2,15616.5,15609.75,-5.75,-140.0,3520.0,3995.0,-475.0
2021-09-02,2021,SHORT,-69.75,173.9,15599.25,15586.75,13.5,245.0,3765.0,3995.0,-230.0
2021-09-03,2021,LONG,98.25,177.0,15654.5,15654.0,0.5,-15.0,3750.0,3995.0,-245.0
2021-09-08,2021,SHORT,-62.5,157.5,15603.0,15605.25,-1.25,-50.0,3700.0,3995.0,-295.0
2021-09-10,2021,SHORT,-95.0,138.9,15534.5,15475.5,60.0,1175.0,4875.0,4875.0,0.0
2021-09-13,2021,SHORT,-164.25,137.6,15373.0,15418.25,-44.25,-910.0,3965.0,4875.0,-910.0
2021-09-14,2021,SHORT,-107.75,148.4,15382.25,15351.0,32.25,620.0,4585.0,4875.0,-290.0
2021-09-15,2021,LONG,71.75,157.3,15477.25,15498.5,22.25,420.0,5005.0,5005.0,0.0
2021-09-16,2021,LONG,51.5,164.5,15494.5,15497.0,3.5,45.0,5050.0,5050.0,0.0
2021-09-17,2021,SHORT,-176.75,164.2,15308.75,15299.5,10.25,180.0,5230.0,5230.0,0.0
2021-09-20,2021,SHORT,-237.75,168.3,14838.0,14875.75,-36.75,-760.0,4470.0,5230.0,-760.0
2021-09-23,2021,LONG,119.25,214.9,15330.5,15318.75,-10.75,-240.0,4230.0,5230.0,-1000.0
2021-09-24,2021,LONG,96.0,218.5,15303.0,15306.5,4.5,65.0,4295.0,5230.0,-935.0
2021-09-28,2021,SHORT,-155.75,229.9,14839.75,14803.5,37.25,720.0,5015.0,5230.0,-215.0
2021-10-04,2021,SHORT,-254.75,259.5,14450.0,14408.25,42.75,830.0,5845.0,5845.0,0.0
2021-10-05,2021,LONG,226.5,280.1,14732.75,14705.5,-26.25,-550.0,5295.0,5845.0,-550.0
2021-10-06,2021,LONG,182.25,289.9,14705.25,14717.5,13.25,240.0,5535.0,5845.0,-310.0
2021-10-12,2021,SHORT,-89.75,279.4,14670.25,14668.25,3.0,35.0,5570.0,5845.0,-275.0
2021-10-14,2021,LONG,120.0,274.6,15039.5,15030.75,-7.75,-180.0,5390.0,5845.0,-455.0
2021-10-18,2021,LONG,189.5,269.3,15266.5,15279.5,14.0,255.0,5645.0,5845.0,-200.0
2021-10-21,2021,LONG,94.0,243.4,15441.0,15469.25,29.25,560.0,6205.0,6205.0,0.0
2021-10-22,2021,SHORT,-75.75,236.4,15345.0,15336.0,10.0,175.0,6380.0,6380.0,0.0
2021-10-25,2021,LONG,112.25,216.6,15518.25,15514.75,-2.5,-75.0,6305.0,6380.0,-75.0
2021-10-27,2021,LONG,111.25,199.2,15682.0,15640.75,-40.25,-830.0,5475.0,6380.0,-905.0
2021-10-28,2021,LONG,72.5,197.5,15741.0,15738.0,-2.0,-65.0,5410.0,6380.0,-970.0
2021-10-29,2021,LONG,155.75,195.7,15786.25,15784.75,-0.5,-35.0,5375.0,6380.0,-1005.0
2021-11-02,2021,LONG,83.75,194.6,15949.5,15953.75,5.25,80.0,5455.0,6380.0,-925.0
2021-11-03,2021,LONG,102.25,189.3,16086.0,16099.25,14.25,260.0,5715.0,6380.0,-665.0
2021-11-04,2021,LONG,149.0,184.3,16329.0,16330.0,2.0,15.0,5730.0,6380.0,-650.0
2021-11-09,2021,SHORT,-158.25,186.7,16216.25,16196.75,20.5,385.0,6115.0,6380.0,-265.0
2021-11-10,2021,SHORT,-176.5,194.1,15925.75,15979.75,-53.0,-1085.0,5030.0,6380.0,-1350.0
2021-11-11,2021,SHORT,-63.0,205.8,16039.5,16029.75,10.75,190.0,5220.0,6380.0,-1160.0
2021-11-12,2021,LONG,103.25,202.1,16174.0,16197.0,24.0,455.0,5675.0,6380.0,-705.0
2021-11-15,2021,SHORT,-66.0,199.7,16170.5,16193.25,-21.75,-460.0,5215.0,6380.0,-1165.0
2021-11-16,2021,LONG,151.75,199.4,16309.25,16302.5,-5.75,-140.0,5075.0,6380.0,-1305.0
2021-11-22,2021,SHORT,-67.75,189.3,16570.25,16549.5,21.75,410.0,5485.0,6380.0,-895.0
2021-11-23,2021,SHORT,-85.0,207.9,16247.0,16245.25,2.75,30.0,5515.0,6380.0,-865.0
2021-11-24,2021,LONG,126.5,214.3,16326.5,16353.75,28.25,540.0,6055.0,6380.0,-325.0
2021-11-29,2021,LONG,162.5,227.1,16402.75,16412.25,10.5,185.0,6240.0,6380.0,-140.0
2021-11-30,2021,SHORT,-204.0,241.1,16146.75,16120.75,27.0,515.0,6755.0,6755.0,0.0
2021-12-01,2021,SHORT,-207.5,244.5,16135.75,15978.75,158.0,3135.0,9890.0,9890.0,0.0
2021-12-02,2021,LONG,173.75,280.5,16001.5,15990.5,-10.0,-225.0,9665.0,9890.0,-225.0
2021-12-03,2021,SHORT,-477.75,288.1,15568.75,15607.0,-37.25,-770.0,8895.0,9890.0,-995.0
2021-12-06,2021,LONG,104.0,320.6,15838.0,15854.75,17.75,330.0,9225.0,9890.0,-665.0
2021-12-07,2021,LONG,177.25,333.6,16295.25,16265.0,-29.25,-610.0,8615.0,9890.0,-1275.0
2021-12-09,2021,SHORT,-132.25,365.2,16203.75,16170.25,34.5,665.0,9280.0,9890.0,-610.0
2021-12-13,2021,SHORT,-133.5,361.3,16192.5,16151.75,41.75,810.0,10090.0,10090.0,0.0
2021-12-16,2021,SHORT,-488.75,389.6,15829.75,15883.0,-52.25,-1070.0,9020.0,10090.0,-1070.0
2021-12-17,2021,LONG,151.25,409.2,15865.25,15836.75,-27.5,-575.0,8445.0,10090.0,-1645.0
2021-12-21,2021,LONG,211.0,400.5,15972.5,15940.25,-31.25,-650.0,7795.0,10090.0,-2295.0
2021-12-22,2021,LONG,152.75,387.1,16117.0,16119.75,3.75,50.0,7845.0,10090.0,-2245.0
2021-12-23,2021,LONG,152.75,386.6,16337.0,16314.25,-21.75,-460.0,7385.0,10090.0,-2705.0
2021-12-27,2021,LONG,194.75,359.9,16540.75,16536.75,-3.0,-85.0,7300.0,10090.0,-2790.0
2021-12-28,2021,SHORT,-107.5,354.3,16493.0,16498.25,-4.25,-110.0,7190.0,10090.0,-2900.0
2022-01-04,2022,SHORT,-285.75,309.2,16223.0,16286.25,-62.25,-1270.0,5920.0,10090.0,-4170.0
2022-01-05,2022,SHORT,-301.0,311.1,15898.0,15834.5,64.5,1265.0,7185.0,10090.0,-2905.0
2022-01-06,2022,LONG,127.25,307.7,15819.0,15802.75,-15.25,-330.0,6855.0,10090.0,-3235.0
2022-01-07,2022,SHORT,-118.5,281.5,15637.75,15613.75,25.0,475.0,7330.0,10090.0,-2760.0
2022-01-11,2022,LONG,245.25,295.4,15813.5,15818.75,6.25,100.0,7430.0,10090.0,-2660.0
2022-01-13,2022,SHORT,-324.75,290.5,15619.75,15582.75,38.0,735.0,8165.0,10090.0,-1925.0
2022-01-14,2022,LONG,108.25,312.7,15502.75,15562.0,60.25,1180.0,9345.0,10090.0,-745.0
2022-01-21,2022,SHORT,-234.5,386.7,14509.5,14464.75,45.75,890.0,10235.0,10235.0,0.0
2022-01-25,2022,LONG,170.75,439.7,14392.25,14217.5,-173.75,-3500.0,6735.0,10235.0,-3500.0
2022-01-26,2022,SHORT,-212.5,437.8,14251.75,14166.5,86.25,1700.0,8435.0,10235.0,-1800.0
2022-01-27,2022,SHORT,-323.0,468.3,14009.25,13997.25,13.0,235.0,8670.0,10235.0,-1565.0
2022-01-31,2022,LONG,322.5,492.4,14811.25,14768.75,-41.5,-855.0,7815.0,10235.0,-2420.0
2022-02-04,2022,LONG,237.0,504.5,14759.25,14776.25,18.0,335.0,8150.0,10235.0,-2085.0
2022-02-11,2022,SHORT,-435.25,472.9,14261.0,14259.75,2.25,20.0,8170.0,10235.0,-2065.0
2022-02-17,2022,SHORT,-224.5,402.1,14237.5,14197.5,41.0,795.0,8965.0,10235.0,-1270.0
2022-02-23,2022,SHORT,-406.75,403.3,13587.25,13579.75,8.5,145.0,9110.0,10235.0,-1125.0
2022-02-24,2022,LONG,699.25,415.7,13781.0,13812.5,32.5,625.0,9735.0,10235.0,-500.0
2022-03-01,2022,SHORT,-174.25,487.0,13998.25,13980.5,18.75,350.0,10085.0,10235.0,-150.0
2022-03-02,2022,LONG,171.5,496.6,14237.75,14262.5,25.75,490.0,10575.0,10575.0,0.0
2022-03-03,2022,SHORT,-295.25,491.8,14049.0,14043.5,6.5,105.0,10680.0,10680.0,0.0
2022-03-04,2022,SHORT,-186.5,480.3,13746.75,13789.0,-41.25,-850.0,9830.0,10680.0,-850.0
2022-03-07,2022,SHORT,-411.0,479.5,13423.5,13414.25,10.25,180.0,10010.0,10680.0,-670.0
2022-03-14,2022,SHORT,-166.25,527.6,13078.0,13073.75,5.25,80.0,10090.0,10680.0,-590.0
2022-03-15,2022,LONG,221.5,520.7,13376.5,13435.75,60.25,1180.0,11270.0,11270.0,0.0
2022-03-17,2022,LONG,187.75,488.8,14059.5,14052.0,-6.5,-155.0,11115.0,11270.0,-155.0
2022-03-18,2022,LONG,289.25,479.9,14335.25,14390.75,56.5,1105.0,12220.0,12220.0,0.0
2022-03-22,2022,LONG,252.5,458.8,14642.5,14640.75,-0.75,-40.0,12180.0,12220.0,-40.0
2022-03-24,2022,LONG,145.25,446.2,14670.0,14724.75,55.75,1090.0,13270.0,13270.0,0.0
2022-03-28,2022,LONG,186.0,423.6,14941.5,14946.25,5.75,90.0,13360.0,13360.0,0.0
2022-04-04,2022,LONG,234.25,344.4,15129.5,15141.25,12.75,230.0,13590.0,13590.0,0.0
2022-04-05,2022,SHORT,-235.25,331.7,14871.25,14822.75,49.5,965.0,14555.0,14555.0,0.0
2022-04-12,2022,SHORT,-247.0,328.0,13947.75,13901.75,47.0,915.0,15470.0,15470.0,0.0
2022-04-13,2022,LONG,251.5,339.6,14206.75,14244.0,38.25,740.0,16210.0,16210.0,0.0
2022-04-14,2022,SHORT,-282.5,340.3,13940.5,13932.75,8.75,150.0,16360.0,16360.0,0.0
2022-04-19,2022,LONG,282.0,346.5,14157.75,14217.25,60.5,1185.0,17545.0,17545.0,0.0
2022-04-20,2022,SHORT,-263.0,353.8,13983.0,14030.0,-46.0,-945.0,16600.0,17545.0,-945.0
2022-04-21,2022,SHORT,-413.5,360.3,13755.5,13763.25,-6.75,-160.0,16440.0,17545.0,-1105.0
2022-04-22,2022,SHORT,-325.75,380.1,13401.0,13435.0,-33.0,-685.0,15755.0,17545.0,-1790.0
2022-04-25,2022,LONG,147.75,394.8,13437.0,13475.75,39.75,770.0,16525.0,17545.0,-1020.0
2022-04-26,2022,SHORT,-247.75,394.4,13198.5,13076.25,123.25,2440.0,18965.0,18965.0,0.0
2022-04-28,2022,LONG,282.25,399.4,13492.5,13503.0,11.5,205.0,19170.0,19170.0,0.0
2022-04-29,2022,SHORT,-299.25,413.1,12986.0,12937.5,49.5,965.0,20135.0,20135.0,0.0
2022-05-04,2022,LONG,230.25,417.2,13344.25,13465.0,121.75,2410.0,22545.0,22545.0,0.0
2022-05-05,2022,SHORT,-523.0,440.5,12818.25,12722.75,96.5,1905.0,24450.0,24450.0,0.0
2022-05-09,2022,SHORT,-154.75,481.1,12297.75,12236.75,62.0,1215.0,25665.0,25665.0,0.0
2022-05-11,2022,SHORT,-199.75,494.8,12042.25,12017.0,26.25,500.0,26165.0,26165.0,0.0
2022-05-13,2022,LONG,217.0,495.8,12351.0,12421.5,71.5,1405.0,27570.0,27570.0,0.0
2022-05-18,2022,SHORT,-439.75,487.2,11926.25,11915.25,12.0,215.0,27785.0,27785.0,0.0
2022-05-20,2022,SHORT,-437.75,485.0,11590.0,11676.5,-85.5,-1735.0,26050.0,27785.0,-1735.0
2022-05-25,2022,LONG,252.0,482.0,11972.25,11990.5,19.25,360.0,26410.0,27785.0,-1375.0
2022-05-26,2022,LONG,394.25,447.8,12306.75,12255.5,-50.25,-1030.0,25380.0,27785.0,-2405.0
2022-05-27,2022,LONG,208.0,453.8,12615.5,12653.0,38.5,745.0,26125.0,27785.0,-1660.0
2022-06-02,2022,LONG,317.25,424.9,12818.5,12820.25,2.75,30.0,26155.0,27785.0,-1630.0
2022-06-06,2022,SHORT,-151.75,428.8,12587.0,12564.75,23.25,440.0,26595.0,27785.0,-1190.0
2022-06-07,2022,LONG,208.5,424.1,12666.5,12691.0,25.5,485.0,27080.0,27785.0,-705.0
2022-06-16,2022,SHORT,-232.5,391.0,11094.75,11164.0,-68.25,-1390.0,25690.0,27785.0,-2095.0
2022-06-17,2022,LONG,139.5,409.8,11330.5,11348.75,19.25,360.0,26050.0,27785.0,-1735.0
2022-06-21,2022,LONG,132.0,404.5,11614.75,11611.25,-2.5,-75.0,25975.0,27785.0,-1810.0
2022-06-22,2022,LONG,199.0,397.6,11671.0,11601.0,-69.0,-1405.0,24570.0,27785.0,-3215.0
2022-06-24,2022,LONG,205.0,384.8,12055.75,12054.25,-0.5,-35.0,24535.0,27785.0,-3250.0
2022-06-27,2022,SHORT,-140.25,398.6,12047.75,12047.0,1.75,10.0,24545.0,27785.0,-3240.0
2022-06-28,2022,SHORT,-347.5,394.0,11713.75,11709.5,5.25,80.0,24625.0,27785.0,-3160.0
2022-07-05,2022,LONG,302.25,370.5,11757.0,11791.25,35.25,680.0,25305.0,27785.0,-2480.0
2022-07-06,2022,LONG,112.25,369.6,11939.5,11955.5,17.0,315.0,25620.0,27785.0,-2165.0
2022-07-07,2022,LONG,215.5,331.4,12135.5,12141.5,7.0,115.0,25735.0,27785.0,-2050.0
2022-07-08,2022,LONG,161.0,336.0,12179.5,12156.75,-21.75,-460.0,25275.0,27785.0,-2510.0
2022-07-11,2022,SHORT,-144.5,330.0,11905.75,11899.0,7.75,130.0,25405.0,27785.0,-2380.0
2022-07-12,2022,SHORT,-114.5,331.3,11825.75,11752.0,74.75,1470.0,26875.0,27785.0,-910.0
2022-07-13,2022,LONG,296.5,322.7,11839.0,11790.25,-47.75,-980.0,25895.0,27785.0,-1890.0
2022-07-14,2022,LONG,161.75,336.9,11806.75,11824.5,18.75,350.0,26245.0,27785.0,-1540.0
2022-07-18,2022,SHORT,-197.75,326.6,11922.0,11919.75,3.25,40.0,26285.0,27785.0,-1500.0
2022-07-19,2022,LONG,193.25,312.9,12255.0,12259.75,5.75,90.0,26375.0,27785.0,-1410.0
2022-07-20,2022,LONG,165.0,329.3,12454.5,12496.75,43.25,840.0,27215.0,27785.0,-570.0
