td,year,tf,direction,freeze_end,price_end,slope_pm,w2s,atr14,slope_norm
2021-01-15,2021,15,up,1215,12864.429,0.128571,28.357,210.19,0.0642
2021-01-26,2021,15,up,1230,13502.525,0.24,21.525,223.65,0.0805
2021-01-28,2021,15,up,1245,13365.386,0.456061,49.136,227.71,0.3305
2021-02-02,2021,15,up,1155,13453.312,0.28125,30.594,287.73,0.1173
2021-02-09,2021,15,dn,1245,13680.888,-0.038333,20.863,279.36,-0.0206
2021-02-17,2021,15,up,1260,13636.406,0.179167,61.156,239.13,0.1349
2021-02-19,2021,15,dn,1200,13567.875,-0.574242,58.966,212.25,-0.4464
2021-02-22,2021,15,dn,1155,13316.35,-0.013333,36.2,185.33,-0.0054
2021-02-24,2021,15,up,1230,13232.375,0.220833,44.562,225.96,0.0586
2021-03-03,2021,15,dn,1290,12740.625,-0.608333,92.75,319.17,-0.4574
2021-03-04,2021,15,dn,1245,12451.098,-0.963095,187.938,348.83,-0.5798
2021-03-09,2021,15,up,1245,12826.348,0.432143,51.598,403.32,0.225
2021-03-10,2021,15,dn,1170,12793.607,-0.109524,56.036,424.71,-0.0271
2021-03-10,2021,15,dn,1245,12755.75,-0.3,49.25,424.71,-0.053
2021-03-11,2021,15,up,1200,13096.719,0.3875,39.969,427.21,0.0544
2021-03-16,2021,15,dn,1290,13105.542,-0.681481,58.958,408.77,-0.2251
2021-03-18,2021,15,dn,1185,12921.594,-0.529167,49.406,382.7,-0.083
2021-03-19,2021,15,up,1245,12861.625,0.1125,34.688,388.25,0.0174
2021-03-19,2021,15,dn,1275,12855.65,-0.043333,32.35,388.25,-0.0084
2021-03-24,2021,15,dn,1215,12893.688,-0.825,55.562,362.57,-0.2048
2021-03-26,2021,15,up,1215,12797.95,0.053333,76.7,335.84,0.0238
2021-03-31,2021,15,up,1230,13128.602,0.157576,31.239,292.3,0.0889
2021-03-31,2021,15,dn,1290,13123.938,-0.002778,34.062,292.3,-0.0017
2021-04-01,2021,15,dn,1215,13279.875,-0.035714,21.482,285.5,-0.0131
2021-04-07,2021,15,up,1275,13605.875,0.051282,37.433,278.62,0.0359
2021-04-07,2021,15,dn,1170,13582.625,-0.045833,23.938,278.62,-0.0099
2021-04-08,2021,15,up,1275,13734.375,0.029167,17.188,263.75,0.0133
2021-04-09,2021,15,up,1260,13780.938,0.10625,15.094,237.64,0.0537
2021-04-12,2021,15,up,1200,13810.714,0.342857,33.464,236.0,0.1525
2021-04-14,2021,15,dn,1260,13816.216,-0.428788,52.011,218.86,-0.3233
2021-04-15,2021,15,up,1260,13990.75,0.066667,36.5,211.66,0.0567
2021-04-19,2021,15,dn,1170,13853.571,-0.380952,49.714,197.61,-0.2024
2021-04-22,2021,15,dn,1260,13711.312,-1.575,80.438,195.39,-0.9673
2021-04-29,2021,15,dn,1140,13838.438,-0.719444,52.312,191.73,-0.3377
2021-04-30,2021,15,dn,1245,13832.281,-0.770833,41.969,195.45,-0.2366
2021-05-03,2021,15,dn,1185,13794.875,-0.041667,24.75,198.07,-0.0189
2021-05-05,2021,15,dn,1200,13571.321,-0.252381,33.679,205.91,-0.1287
2021-05-11,2021,15,up,1275,13339.125,0.304167,50.312,223.73,0.1631
2021-05-13,2021,15,dn,1230,13053.482,-0.578571,82.268,240.41,-0.2527
2021-05-19,2021,15,up,1290,13198.625,0.5,66.875,276.96,0.1625
2021-05-26,2021,15,dn,1245,13698.125,-0.027778,23.625,285.82,-0.0131
2021-06-01,2021,15,up,1170,13659.031,0.145833,23.031,240.04,0.0365
2021-06-07,2021,15,up,1200,13750.875,0.104167,19.812,203.88,0.0613
2021-06-09,2021,15,dn,1125,13839.125,-0.088889,25.875,186.6,-0.0429
2021-06-21,2021,15,up,1245,14125.0,0.066667,22.0,191.98,0.0573
2021-06-23,2021,15,dn,1170,14253.375,-0.205556,30.875,199.7,-0.0926
2021-06-24,2021,15,up,1140,14394.562,0.113889,32.562,188.16,0.0545
2021-06-24,2021,15,dn,1245,14345.083,-0.37963,34.917,188.16,-0.2724
2021-06-25,2021,15,dn,1155,14332.575,-0.16,18.525,176.45,-0.068
2021-06-25,2021,15,dn,1230,14331.2,-0.046667,15.55,176.45,-0.0198
2021-06-28,2021,15,up,1155,14479.75,0.077778,18.75,173.88,0.0403
2021-06-29,2021,15,up,1260,14547.24,0.153846,22.183,174.66,0.1718
2021-07-08,2021,15,up,1230,14725.5,0.541667,53.875,149.85,0.6507
2021-07-15,2021,15,dn,1140,14761.125,-0.3375,43.562,157.71,-0.1284
2021-07-15,2021,15,dn,1245,14736.0,-0.233333,38.25,157.71,-0.1553
2021-07-21,2021,15,up,1245,14763.784,0.022727,26.739,198.13,0.0189
2021-07-26,2021,15,up,1140,15111.875,0.133333,28.125,191.14,0.0628
2021-07-27,2021,15,dn,1215,14804.175,-0.386667,47.325,186.18,-0.1558
2021-07-28,2021,15,dn,1260,14970.75,-0.472222,70.25,200.45,-0.318
2021-07-29,2021,15,dn,1185,15057.75,-0.0625,16.562,195.23,-0.0192
2021-07-30,2021,15,dn,1290,14936.525,-0.303333,24.425,191.54,-0.1188
2021-08-03,2021,15,up,1260,15017.5,0.025,21.875,190.75,0.0079
2021-08-04,2021,15,up,1215,15096.825,0.453333,26.825,194.05,0.1752
2021-08-04,2021,15,up,1290,15086.55,0.063333,24.3,194.05,0.0245
2021-08-05,2021,15,up,1260,15155.042,0.080556,11.083,183.8,0.0394
2021-08-05,2021,15,dn,1200,15144.844,-0.029167,10.656,183.8,-0.0095
2021-08-06,2021,15,up,1200,15096.906,0.054167,15.031,175.91,0.0185
2021-08-09,2021,15,up,1290,15134.875,0.123333,16.175,167.7,0.1103
2021-08-11,2021,15,up,1200,15018.094,0.2875,27.094,158.77,0.1086
2021-08-18,2021,15,up,1260,14991.0,0.366667,55.0,151.64,0.2176
2021-08-18,2021,15,dn,1275,14966.83,-0.198485,50.761,151.64,-0.216
2021-08-24,2021,15,dn,1170,15344.75,-0.025,15.625,176.66,-0.0085
2021-08-25,2021,15,up,1185,15358.925,0.06,15.025,174.05,0.0259
2021-08-27,2021,15,up,1230,15432.812,0.180556,13.562,170.59,0.0953
2021-08-30,2021,15,up,1125,15585.75,0.133333,17.75,173.16,0.0577
2021-08-30,2021,15,up,1275,15606.038,0.135,17.788,173.16,0.1169
2021-09-02,2021,15,dn,1260,15570.275,-0.282222,31.225,173.86,-0.3652
2021-09-03,2021,15,up,1215,15659.107,0.128571,15.179,176.98,0.0763
2021-09-07,2021,15,up,1185,15684.812,0.197917,25.594,165.12,0.1438
2021-09-08,2021,15,up,1260,15614.821,0.197619,19.821,157.46,0.1318
2021-09-08,2021,15,dn,1140,15559.0,-0.143333,41.7,157.46,-0.0683
2021-09-09,2021,15,dn,1230,15571.25,-0.504762,35.964,148.13,-0.3578
2021-09-16,2021,15,dn,1095,15384.312,-0.075,28.938,164.52,-0.0274
2021-09-17,2021,15,dn,1290,15311.534,-0.081818,38.966,164.17,-0.0822
2021-09-22,2021,15,up,1275,15163.225,0.153333,70.675,202.15,0.1138
2021-09-23,2021,15,up,1245,15311.107,0.040476,37.714,214.94,0.0395
2021-09-27,2021,15,dn,1185,15154.625,-0.125,40.0,214.16,-0.035
2021-09-28,2021,15,dn,1200,14777.275,-0.236667,43.675,229.86,-0.0772
2021-09-28,2021,15,dn,1260,14800.188,-0.058333,62.062,229.86,-0.0152
2021-09-29,2021,15,dn,1230,14773.3,-0.186667,70.7,250.16,-0.056
2021-10-04,2021,15,dn,1200,14397.438,-0.169444,37.312,259.54,-0.0588
2021-10-06,2021,15,dn,1200,14633.304,-0.130952,71.696,289.89,-0.0474
2021-10-07,2021,15,up,1140,14980.0,0.038889,23.0,301.95,0.0116
2021-10-08,2021,15,up,1290,14838.703,0.097917,36.203,300.68,0.0391
2021-10-08,2021,15,dn,1125,14848.175,-0.093333,43.375,300.68,-0.0233
2021-10-08,2021,15,dn,1215,14811.062,-0.202778,29.438,300.68,-0.0607
2021-10-11,2021,15,dn,1245,14772.167,-0.498611,36.354,277.43,-0.3235
2021-10-13,2021,15,up,1260,14771.125,0.416667,43.375,272.25,0.2066
2021-10-19,2021,15,up,1260,15383.111,0.087037,19.306,255.29,0.046
2021-10-20,2021,15,dn,1215,15333.917,-0.475926,36.333,249.55,-0.2575
2021-10-22,2021,15,up,1290,15350.607,0.047619,35.036,236.41,0.0211
2021-10-25,2021,15,up,1290,15529.938,0.380556,28.438,216.59,0.1581
2021-10-28,2021,15,up,1290,15726.25,0.033333,34.25,197.5,0.0278
2021-11-02,2021,15,dn,1290,15932.775,-0.045,29.55,194.62,-0.0347
2021-11-05,2021,15,dn,1230,16312.458,-0.840741,58.292,193.54,-0.5865
2021-11-08,2021,15,up,1275,16356.938,0.0875,30.5,186.46,0.0845
2021-11-09,2021,15,dn,1140,16208.188,-0.425,42.312,186.7,-0.1366
2021-11-09,2021,15,dn,1245,16189.482,-0.238095,40.196,186.7,-0.1339
2021-11-11,2021,15,dn,1155,16050.607,-0.142857,33.536,205.84,-0.0729
2021-11-15,2021,15,dn,1155,16104.232,-0.611905,49.518,199.71,-0.3217
2021-11-16,2021,15,up,1260,16310.9,0.096667,17.2,199.45,0.0727
2021-11-18,2021,15,dn,1290,16437.5,-0.166667,39.0,193.57,-0.0904
2021-11-19,2021,15,up,1170,16594.344,0.0375,35.844,189.89,0.0118
2021-11-19,2021,15,dn,1230,16575.583,-0.072222,45.333,189.89,-0.0685
2021-11-23,2021,15,dn,1230,16177.312,-0.148333,65.488,207.88,-0.107
2021-11-24,2021,15,dn,1260,16287.679,-0.197619,45.571,214.29,-0.0968
2021-11-29,2021,15,dn,1290,16404.625,-0.1,33.125,227.12,-0.0264
2021-12-07,2021,15,up,1245,16317.406,0.129167,32.656,333.6,0.0232
2021-12-08,2021,15,up,1245,16357.25,0.283333,34.5,366.38,0.1044
2021-12-09,2021,15,dn,1245,16218.857,-0.552381,38.214,365.17,-0.1588
2021-12-27,2021,15,up,1290,16537.446,0.095238,23.839,359.95,0.0556
2021-12-28,2021,15,dn,1170,16485.5,-0.466667,39.0,354.32,-0.079
2021-12-28,2021,15,dn,1260,16474.062,-0.169444,29.438,354.32,-0.043
2021-12-30,2021,15,dn,1260,16522.979,-0.084722,22.292,331.39,-0.046
2021-12-31,2021,15,dn,1155,16369.475,-0.123333,27.775,322.5,-0.0287
2022-01-04,2022,15,dn,1245,16180.489,-0.139394,47.261,309.23,-0.0744
2022-01-05,2022,15,dn,1200,16038.083,-0.712963,43.667,311.07,-0.3094
2022-01-07,2022,15,dn,1275,15606.893,-0.271429,63.357,281.5,-0.1012
2022-01-10,2022,15,up,1290,15453.952,0.926923,97.26,284.21,0.636
2022-01-12,2022,15,up,1185,15927.675,0.396667,43.425,294.04,0.1012
2022-01-13,2022,15,dn,1185,15625.688,-1.095833,80.75,290.52,-0.4526
2022-01-14,2022,15,dn,1215,15477.562,-0.11875,78.906,312.71,-0.0456
2022-01-18,2022,15,dn,1215,15268.196,-0.288095,56.911,323.54,-0.0935
2022-01-24,2022,15,dn,1155,13831.688,-2.258333,227.312,404.96,-0.6692
2022-01-26,2022,15,up,1260,14438.438,1.013889,246.938,437.77,0.2084
2022-01-27,2022,15,dn,1215,14050.33,-1.206061,124.352,468.31,-0.4249
2022-02-01,2022,15,dn,1275,14872.179,-0.180952,58.821,507.63,-0.0374
2022-02-09,2022,15,up,1200,14968.906,0.227083,35.812,488.95,0.0557
2022-02-14,2022,15,up,1170,14347.25,0.233333,57.25,452.2,0.0387
2022-02-14,2022,15,dn,1260,14204.286,-0.485714,124.143,452.2,-0.2256
2022-02-17,2022,15,dn,1140,14352.9,-0.123333,45.45,402.05,-0.023
2022-02-28,2022,15,dn,1275,14034.375,-0.791667,74.25,463.88,-0.1536
2022-03-01,2022,15,dn,1275,14026.208,-0.251852,73.292,487.02,-0.0698
2022-03-02,2022,15,up,1275,14256.739,0.369697,43.898,496.6,0.1228
2022-03-08,2022,15,up,1200,13569.891,2.689583,217.141,492.96,0.6547
2022-03-08,2022,15,dn,1110,13333.719,-0.095833,219.781,492.96,-0.0117
2022-03-09,2022,15,up,1170,13716.339,0.62381,60.982,514.13,0.1274
2022-03-18,2022,15,up,1230,14305.281,0.3875,36.406,479.93,0.0969
2022-03-21,2022,15,dn,1215,14297.125,-0.245833,124.438,469.09,-0.0943
2022-03-24,2022,15,up,1200,14627.292,0.036111,41.583,446.18,0.0073
2022-03-24,2022,15,up,1260,14669.0,0.333333,33.25,446.18,0.0448
2022-04-04,2022,15,dn,1260,15097.625,-0.3,43.875,344.38,-0.0523
2022-04-05,2022,15,dn,1155,14877.5,-0.6,54.5,331.66,-0.19
2022-04-05,2022,15,dn,1245,14892.167,-0.030556,46.292,331.66,-0.0083
2022-04-06,2022,15,up,1260,14544.986,0.812963,125.847,322.91,0.3399
2022-04-06,2022,15,dn,1185,14478.482,-0.245238,69.018,322.91,-0.0797
2022-04-06,2022,15,dn,1275,14517.312,-0.286111,135.438,322.91,-0.0797
2022-04-08,2022,15,up,1155,14446.75,0.033333,53.0,324.54,0.0077
2022-04-11,2022,15,up,1200,14111.45,0.436667,39.45,328.02,0.0998
2022-04-13,2022,15,up,1200,14177.071,0.314286,44.571,339.57,0.0972
2022-04-22,2022,15,dn,1140,13509.5,-0.933333,66.5,380.12,-0.2578
2022-04-29,2022,15,dn,1185,13088.786,-0.909524,70.714,413.11,-0.2312
2022-05-02,2022,15,dn,1290,12839.844,-0.623611,158.156,432.36,-0.2596
2022-05-03,2022,15,up,1245,13095.4,0.256667,99.9,430.57,0.0894
2022-05-03,2022,15,dn,1290,13075.9,-0.203333,89.55,430.57,-0.0708
2022-05-09,2022,15,dn,1290,12297.656,-0.154167,94.094,481.12,-0.0577
2022-05-10,2022,15,up,1260,12494.531,1.677083,100.438,487.41,0.4129
2022-05-11,2022,15,dn,1245,12044.812,-1.441667,107.688,494.79,-0.4371
2022-05-12,2022,15,dn,1290,11773.208,-0.896296,124.542,495.62,-0.2441
2022-05-16,2022,15,up,1290,12341.2,0.353333,77.7,508.77,0.1042
2022-05-19,2022,15,up,1110,12033.625,0.9,83.625,501.3,0.1346
2022-05-19,2022,15,dn,1200,11951.597,-0.135185,106.931,501.3,-0.0364
2022-05-25,2022,15,dn,1260,11868.875,-0.2,107.375,481.96,-0.0373
2022-05-27,2022,15,up,1140,12574.958,0.202778,46.167,453.84,0.0402
2022-05-31,2022,15,up,1275,12689.292,0.138889,85.458,451.4,0.0277
2022-06-09,2022,15,dn,1140,12563.875,-0.108333,42.0,381.96,-0.017
2022-06-10,2022,15,up,1245,11928.9,0.756667,51.9,370.46,0.1532
2022-06-14,2022,15,up,1215,11407.188,0.702778,79.688,400.54,0.1579
2022-06-15,2022,15,dn,1290,11528.946,-1.102381,207.304,395.5,-0.2927
2022-06-17,2022,15,up,1200,11366.542,0.863889,68.333,409.77,0.1897
2022-06-21,2022,15,dn,1290,11602.675,-0.08,29.775,404.48,-0.0297
2022-06-24,2022,15,up,1200,12019.75,0.1,21.75,384.75,0.0156
2022-06-27,2022,15,up,1125,12096.688,0.041667,56.688,398.63,0.0063
2022-06-27,2022,15,dn,1260,12051.583,-0.147222,31.458,398.63,-0.0332
2022-07-05,2022,15,up,1155,11587.161,0.359524,76.268,370.5,0.1019
2022-07-11,2022,15,up,1245,11970.923,0.189744,42.365,330.0,0.1121
2022-07-12,2022,15,up,1200,11906.469,0.085417,39.375,331.31,0.0309
2022-07-13,2022,15,up,1200,11793.222,0.164815,68.694,322.71,0.0689
2022-07-14,2022,15,up,1290,11790.0,0.65,72.0,336.9,0.3473
2022-07-19,2022,15,up,1260,12265.188,0.575,40.938,312.92,0.2756
2022-07-27,2022,15,up,1155,12452.975,0.343333,36.975,315.39,0.0816
2022-07-27,2022,15,dn,1260,12503.5,-0.2,108.5,315.39,-0.038
2022-07-28,2022,15,up,1245,12705.578,0.360417,49.141,327.27,0.1322
2022-08-02,2022,15,up,1170,13060.518,0.911905,77.518,325.23,0.2944
2022-08-04,2022,15,up,1230,13282.95,0.04,35.85,318.86,0.0094
2022-08-09,2022,15,dn,1155,12994.75,-0.273333,43.8,302.39,-0.0678
2022-08-10,2022,15,up,1140,13356.375,0.1,36.875,301.59,0.0199
2022-08-10,2022,15,up,1245,13358.054,0.038095,36.411,301.59,0.0133
2022-08-15,2022,15,up,1200,13665.65,0.206667,21.4,310.73,0.0499
2022-08-16,2022,15,up,1260,13672.982,0.538095,91.982,307.27,0.1839
2022-08-19,2022,15,dn,1230,13263.7,-0.105,38.175,276.34,-0.057
2022-08-25,2022,15,up,1245,13074.857,0.388095,36.857,268.11,0.152
2022-08-25,2022,15,dn,1185,13041.125,-0.038889,45.625,268.11,-0.0131
2022-08-26,2022,15,dn,1155,12783.25,-0.3125,38.312,263.61,-0.0711
2022-08-30,2022,15,dn,1245,12310.75,-0.120833,68.688,280.98,-0.0774
2022-08-31,2022,15,dn,1230,12335.175,-0.103333,54.325,279.89,-0.0554
2022-09-01,2022,15,dn,1185,12069.469,-0.129167,57.531,276.09,-0.0281
2022-09-09,2022,15,up,1110,12549.438,0.175,38.938,315.0,0.0333
2022-09-09,2022,15,up,1230,12575.188,0.208333,39.688,315.0,0.0794
2022-09-14,2022,15,dn,1260,12148.031,-0.5125,53.094,370.5,-0.166
2022-09-20,2022,15,dn,1245,11894.75,-0.317949,80.808,328.98,-0.1885
2022-09-21,2022,15,up,1170,11982.062,0.085417,31.781,331.1,0.031
2022-09-21,2022,15,dn,1260,11929.938,-0.975,210.562,331.1,-0.5301
2022-09-22,2022,15,dn,1275,11582.094,-0.245833,71.656,343.08,-0.043
2022-10-10,2022,15,up,1245,11000.203,0.410417,86.516,370.61,0.1329
2022-10-10,2022,15,dn,1200,10962.938,-0.425,105.312,370.61,-0.1376
2022-10-12,2022,15,up,1290,10886.0,0.266667,45.25,358.48,0.0669
2022-10-12,2022,15,dn,1260,10870.833,-0.130556,46.458,358.48,-0.0328
2022-10-13,2022,15,up,1230,11008.562,0.020833,109.625,350.29,0.0071
2022-10-14,2022,15,dn,1155,10813.667,-0.772222,65.167,370.77,-0.1874
2022-10-17,2022,15,up,1125,11083.417,0.052778,56.958,388.3,0.0122
2022-10-17,2022,15,up,1260,11116.333,0.061111,32.667,388.3,0.0212
2022-10-18,2022,15,up,1245,11184.125,0.1,75.125,395.34,0.019
2022-10-27,2022,15,dn,1260,11270.312,-0.197222,49.438,369.73,-0.048
2022-10-28,2022,15,up,1230,11529.1,0.381667,42.575,355.16,0.1612
2022-10-31,2022,15,up,1290,11458.375,0.025,41.5,375.43,0.004
2022-11-01,2022,15,dn,1170,11353.5,-0.166667,45.25,372.25,-0.0269
2022-11-04,2022,15,dn,1200,10719.375,-0.183333,59.875,355.0,-0.031
2022-11-04,2022,15,dn,1260,10737.875,-0.083333,78.875,355.0,-0.0141
2022-11-08,2022,15,dn,1290,10979.583,-1.840741,133.667,343.73,-0.7229
2022-11-14,2022,15,up,1260,11862.982,0.388095,52.982,370.38,0.22
2022-11-15,2022,15,dn,1230,11822.65,-1.193333,111.85,363.18,-0.4929
2022-11-17,2022,15,up,1230,11737.423,0.524359,61.173,365.02,0.2801
2022-11-18,2022,15,dn,1155,11627.675,-0.506667,43.475,347.57,-0.1093
2022-11-21,2022,15,up,1230,11596.375,0.038889,39.875,348.16,0.0151
2022-11-21,2022,15,dn,1185,11589.625,-0.183333,44.875,348.16,-0.0632
2022-11-22,2022,15,up,1260,11695.625,0.283333,24.375,341.0,0.1496
2022-11-23,2022,15,dn,1185,11772.938,-0.408333,49.562,320.25,-0.0765
2022-11-28,2022,15,dn,1140,11692.0,-0.133333,35.75,311.88,-0.0257
2022-11-29,2022,15,up,1260,11516.458,0.013889,38.667,304.44,0.0041
2022-11-30,2022,15,dn,1155,11530.925,-0.136667,39.075,295.9,-0.0346
2022-12-06,2022,15,dn,1290,11525.773,-0.363542,40.133,267.35,-0.3263
2022-12-08,2022,15,up,1230,11634.042,0.080556,55.333,264.21,0.0549
