Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2021-07-14,X,18293.25,1,327405,38460,11.75,40545,12.38,-15565,-4.75,38460,0.04,122
1,Entry long,2021-01-19,B=0|T=20210117T2300,16370.25,1,327405,38460,11.75,40545,12.38,-15565,-4.75,38460,0.04,122
2,Exit long,2021-08-17,X,18399,1,365865,2115,0.58,5615,1.53,-8935,-2.44,40575,0.04,24
2,Entry long,2021-07-14,B=1|T=20210713T2200,18293.25,1,365865,2115,0.58,5615,1.53,-8935,-2.44,40575,0.04,24
3,Exit long,2021-08-20,X,18488.25,1,367980,1785,0.49,2050,0.56,-5740,-1.56,42360,0.04,3
3,Entry long,2021-08-17,B=0|T=20210816T2200,18399,1,367980,1785,0.49,2050,0.56,-5740,-1.56,42360,0.04,3
4,Exit long,2021-09-17,X,18734.25,1,369765,4920,1.33,12440,3.36,-5,0.00,47280,0.05,19
4,Entry long,2021-08-20,B=1|T=20210819T2200,18488.25,1,369765,4920,1.33,12440,3.36,-5,0.00,47280,0.05,19
5,Exit long,2021-10-14,X,18445.5,1,374685,-5775,-1.54,1465,0.39,-19165,-5.11,41505,0.04,19
5,Entry long,2021-09-17,B=0|T=20210916T2200,18734.25,1,374685,-5775,-1.54,1465,0.39,-19165,-5.11,41505,0.04,19
6,Exit long,2021-12-03,X,19126,1,368910,13610,3.69,34605,9.38,-330,-0.09,55115,0.06,35
6,Entry long,2021-10-14,B=1|T=20211013T2200,18445.5,1,368910,13610,3.69,34605,9.38,-330,-0.09,55115,0.06,35
7,Exit long,2021-12-07,X,19726.25,1,382520,12005,3.14,13135,3.43,-3170,-0.83,67120,0.07,2
7,Entry long,2021-12-03,B=0|T=20211202T2300,19126,1,382520,12005,3.14,13135,3.43,-3170,-0.83,67120,0.07,2
8,Exit long,2021-12-13,X,19490.25,1,394525,-4720,-1.20,2375,0.60,-5075,-1.29,62400,0.06,4
8,Entry long,2021-12-07,B=1|T=20211206T2300,19726.25,1,394525,-4720,-1.20,2375,0.60,-5075,-1.29,62400,0.06,4
9,Exit long,2021-12-15,X,19695,1,389805,4095,1.05,4370,1.12,-6950,-1.78,66495,0.07,2
9,Entry long,2021-12-13,B=0|T=20211212T2300,19490.25,1,389805,4095,1.05,4370,1.12,-6950,-1.78,66495,0.07,2
10,Exit long,2021-12-16,X,19275.5,1,393900,-8390,-2.13,3415,0.87,-9865,-2.50,58105,0.06,1
10,Entry long,2021-12-15,B=1|T=20211214T2300,19695,1,393900,-8390,-2.13,3415,0.87,-9865,-2.50,58105,0.06,1
11,Exit long,2021-12-27,X,19968.75,1,385510,13865,3.60,14280,3.70,-7495,-1.94,71970,0.07,6
11,Entry long,2021-12-16,B=0|T=20211215T2300,19275.5,1,385510,13865,3.60,14280,3.70,-7495,-1.94,71970,0.07,6
12,Exit long,2021-12-31,X,19729.5,1,399375,-4785,-1.20,1990,0.50,-4925,-1.23,67185,0.07,4
12,Entry long,2021-12-27,B=1|T=20211226T2300,19968.75,1,399375,-4785,-1.20,1990,0.50,-4925,-1.23,67185,0.07,4
13,Exit long,2022-01-03,X,19894.25,1,394590,3295,0.84,3745,0.95,-575,-0.15,70480,0.07,1
13,Entry long,2021-12-31,B=0|T=20211230T2300,19729.5,1,394590,3295,0.84,3745,0.95,-575,-0.15,70480,0.07,1
14,Exit long,2022-01-04,X,19684.5,1,397885,-4195,-1.05,1570,0.39,-6920,-1.74,66285,0.07,1
14,Entry long,2022-01-03,B=1|T=20220102T2300,19894.25,1,397885,-4195,-1.05,1570,0.39,-6920,-1.74,66285,0.07,1
15,Exit long,2022-03-22,X,18064.25,1,393690,-32405,-8.23,0,0.00,-66635,-16.93,33880,0.03,53
15,Entry long,2022-01-04,B=0|T=20220103T2300,19684.5,1,393690,-32405,-8.23,0,0.00,-66635,-16.93,33880,0.03,53
16,Exit long,2022-04-08,X,17737.25,1,361285,-6540,-1.81,12295,3.40,-6870,-1.90,27340,0.03,13
16,Entry long,2022-03-22,B=1|T=20220321T2200,18064.25,1,361285,-6540,-1.81,12295,3.40,-6870,-1.90,27340,0.03,13
17,Exit long,2022-04-19,X,17627.5,1,354745,-2195,-0.62,1100,0.31,-11950,-3.37,25145,0.03,6
17,Entry long,2022-04-08,B=0|T=20220407T2200,17737.25,1,354745,-2195,-0.62,1100,0.31,-11950,-3.37,25145,0.03,6
18,Exit long,2022-04-20,X,17415,1,352550,-4250,-1.21,1615,0.46,-5215,-1.48,20895,0.02,1
18,Entry long,2022-04-19,B=1|T=20220418T2200,17627.5,1,352550,-4250,-1.21,1615,0.46,-5215,-1.48,20895,0.02,1
19,Exit long,2022-05-27,X,16088,1,348300,-26540,-7.62,5565,1.60,-50270,-14.43,-5645,-0.01,27
19,Entry long,2022-04-20,B=0|T=20220419T2200,17415,1,348300,-26540,-7.62,5565,1.60,-50270,-14.43,-5645,-0.01,27
20,Exit long,2022-06-01,X,15961.25,1,321760,-2535,-0.79,4105,1.28,-4460,-1.39,-8180,-0.01,2
20,Entry long,2022-05-27,B=1|T=20220526T2200,16088,1,321760,-2535,-0.79,4105,1.28,-4460,-1.39,-8180,-0.01,2
21,Exit long,2022-06-02,X,16304,1,319225,6855,2.15,7055,2.21,-2170,-0.68,-1325,0.00,1
21,Entry long,2022-06-01,B=0|T=20220531T2200,15961.25,1,319225,6855,2.15,7055,2.21,-2170,-0.68,-1325,0.00,1
22,Exit long,2022-06-10,X,15250.25,1,326080,-21075,-6.46,1030,0.32,-21415,-6.57,-22400,-0.02,6
22,Entry long,2022-06-02,B=1|T=20220601T2200,16304,1,326080,-21075,-6.46,1030,0.32,-21415,-6.57,-22400,-0.02,6
23,Exit long,2022-06-23,X,15116.75,1,305005,-2670,-0.88,0,0.00,-16050,-5.26,-25070,-0.03,8
23,Entry long,2022-06-10,B=0|T=20220609T2200,15250.25,1,305005,-2670,-0.88,0,0.00,-16050,-5.26,-25070,-0.03,8
24,Exit long,2022-06-28,X,15053.5,1,302335,-1265,-0.42,10490,3.47,-1520,-0.50,-26335,-0.03,3
24,Entry long,2022-06-23,B=1|T=20220622T2200,15116.75,1,302335,-1265,-0.42,10490,3.47,-1520,-0.50,-26335,-0.03,3
25,Exit long,2022-07-05,X,15187.75,1,301070,2685,0.89,2830,0.94,-6465,-2.15,-23650,-0.02,4
25,Entry long,2022-06-28,B=0|T=20220627T2200,15053.5,1,301070,2685,0.89,2830,0.94,-6465,-2.15,-23650,-0.02,4
26,Exit long,2022-08-26,X,15999.75,1,303755,16240,5.35,38645,12.72,-6585,-2.17,-7410,-0.01,38
26,Entry long,2022-07-05,B=1|T=20220703T2200,15187.75,1,303755,16240,5.35,38645,12.72,-6585,-2.17,-7410,-0.01,38
27,Exit long,2022-11-10,X,14928.75,1,319995,-21420,-6.69,5675,1.77,-44370,-13.87,-28830,-0.03,53
27,Entry long,2022-08-26,B=0|T=20220825T2200,15999.75,1,319995,-21420,-6.69,5675,1.77,-44370,-13.87,-28830,-0.03,53
28,Exit long,2022-12-19,X,14371.75,1,298575,-11140,-3.73,11775,3.94,-12370,-4.14,-39970,-0.04,26
28,Entry long,2022-11-10,B=1|T=20221109T2300,14928.75,1,298575,-11140,-3.73,11775,3.94,-12370,-4.14,-39970,-0.04,26
29,Exit long,2023-01-12,X,14712.75,1,287435,6820,2.37,7730,2.69,-8845,-3.08,-33150,-0.03,16
29,Entry long,2022-12-19,B=0|T=20221218T2300,14371.75,1,287435,6820,2.37,7730,2.69,-8845,-3.08,-33150,-0.03,16
30,Exit long,2023-01-18,X,14654.25,1,294255,-1170,-0.40,4505,1.53,-2905,-0.99,-34320,-0.03,3
30,Entry long,2023-01-12,B=1|T=20230111T2300,14712.75,1,294255,-1170,-0.40,4505,1.53,-2905,-0.99,-34320,-0.03,3
31,Exit long,2023-01-20,X,14855.5,1,293085,4025,1.37,4220,1.44,-3345,-1.14,-30295,-0.03,2
31,Entry long,2023-01-18,B=0|T=20230117T2300,14654.25,1,293085,4025,1.37,4220,1.44,-3345,-1.14,-30295,-0.03,2
32,Exit long,2023-01-30,X,15146.5,1,297110,5820,1.96,12630,4.25,-1450,-0.49,-24475,-0.02,6
32,Entry long,2023-01-20,B=1|T=20230119T2300,14855.5,1,297110,5820,1.96,12630,4.25,-1450,-0.49,-24475,-0.02,6
33,Exit long,2023-02-02,X,16025.25,1,302930,17575,5.80,19635,6.48,-1940,-0.64,-6900,-0.01,3
33,Entry long,2023-01-30,B=0|T=20230129T2300,15146.5,1,302930,17575,5.80,19635,6.48,-1940,-0.64,-6900,-0.01,3
34,Exit long,2023-02-06,X,15694,1,320505,-6625,-2.07,625,0.20,-7820,-2.44,-13525,-0.01,2
34,Entry long,2023-02-02,B=1|T=20230201T2300,16025.25,1,320505,-6625,-2.07,625,0.20,-7820,-2.44,-13525,-0.01,2
35,Exit long,2023-02-07,X,15955.25,1,313880,5225,1.66,6060,1.93,-1125,-0.36,-8300,-0.01,1
35,Entry long,2023-02-06,B=0|T=20230205T2300,15694,1,313880,5225,1.66,6060,1.93,-1125,-0.36,-8300,-0.01,1
36,Exit long,2023-02-08,X,15723.75,1,319105,-4630,-1.45,635,0.20,-5280,-1.65,-12930,-0.01,1
36,Entry long,2023-02-07,B=1|T=20230206T2300,15955.25,1,319105,-4630,-1.45,635,0.20,-5280,-1.65,-12930,-0.01,1
37,Exit long,2023-03-21,X,15922.5,1,314475,3975,1.26,4950,1.57,-17420,-5.54,-8955,-0.01,28
37,Entry long,2023-02-08,B=0|T=20230207T2300,15723.75,1,314475,3975,1.26,4950,1.57,-17420,-5.54,-8955,-0.01,28
38,Exit long,2023-07-20,X,18461.25,1,318450,50775,15.94,60185,18.90,-4660,-1.46,41820,0.04,84
38,Entry long,2023-03-21,B=1|T=20230320T2200,15922.5,1,318450,50775,15.94,60185,18.90,-4660,-1.46,41820,0.04,84
39,Exit long,2023-07-28,X,18716.5,1,369225,5105,1.38,6235,1.69,-2170,-0.59,46925,0.05,6
39,Entry long,2023-07-20,B=0|T=20230719T2200,18461.25,1,369225,5105,1.38,6235,1.69,-2170,-0.59,46925,0.05,6
40,Exit long,2023-08-01,X,18686.25,1,374330,-605,-0.16,1390,0.37,-2385,-0.64,46320,0.05,2
40,Entry long,2023-07-28,B=1|T=20230727T2200,18716.5,1,374330,-605,-0.16,1390,0.37,-2385,-0.64,46320,0.05,2
41,Exit long,2023-11-06,X,17903,1,373725,-15665,-4.19,0,0.00,-37510,-10.04,30655,0.03,68
41,Entry long,2023-08-01,B=0|T=20230731T2200,18686.25,1,373725,-15665,-4.19,0,0.00,-37510,-10.04,30655,0.03,68
42,Exit long,2024-01-31,X,19699.75,1,358060,35935,10.04,46960,13.12,-1130,-0.32,66590,0.07,58
42,Entry long,2023-11-06,B=1|T=20231105T2300,17903,1,358060,35935,10.04,46960,13.12,-1130,-0.32,66590,0.07,58
43,Exit long,2024-02-01,X,19894.25,1,393995,3890,0.99,8090,2.05,0,0.00,70480,0.07,1
43,Entry long,2024-01-31,B=0|T=20240130T2300,19699.75,1,393995,3890,0.99,8090,2.05,0,0.00,70480,0.07,1
44,Exit long,2024-02-13,X,20134.25,1,397885,4800,1.21,13695,3.44,0,0.00,75280,0.08,8
44,Entry long,2024-02-01,B=1|T=20240131T2300,19894.25,1,397885,4800,1.21,13695,3.44,0,0.00,75280,0.08,8
45,Exit long,2024-02-14,X,20338.5,1,402685,4085,1.01,4205,1.04,-150,-0.04,79365,0.08,1
45,Entry long,2024-02-13,B=0|T=20240212T2300,20134.25,1,402685,4085,1.01,4205,1.04,-150,-0.04,79365,0.08,1
46,Exit long,2024-02-21,X,19994.25,1,406770,-6885,-1.69,2900,0.71,-10165,-2.50,72480,0.07,4
46,Entry long,2024-02-14,B=1|T=20240213T2300,20338.5,1,406770,-6885,-1.69,2900,0.71,-10165,-2.50,72480,0.07,4
47,Exit long,2024-02-22,X,20505,1,399885,10215,2.55,11005,2.75,0,0.00,82695,0.08,1
47,Entry long,2024-02-21,B=0|T=20240220T2300,19994.25,1,399885,10215,2.55,11005,2.75,0,0.00,82695,0.08,1
48,Exit long,2024-02-28,X,20372.75,1,410100,-2645,-0.64,1945,0.47,-4025,-0.98,80050,0.08,4
48,Entry long,2024-02-22,B=1|T=20240221T2300,20505,1,410100,-2645,-0.64,1945,0.47,-4025,-0.98,80050,0.08,4
49,Exit long,2024-02-29,X,20540.25,1,407455,3350,0.82,3885,0.95,-1785,-0.44,83400,0.08,1
49,Entry long,2024-02-28,B=0|T=20240227T2300,20372.75,1,407455,3350,0.82,3885,0.95,-1785,-0.44,83400,0.08,1
50,Exit long,2024-03-05,X,20387.75,1,410805,-3050,-0.74,5900,1.44,-5005,-1.22,80350,0.08,3
50,Entry long,2024-02-29,B=1|T=20240228T2300,20540.25,1,410805,-3050,-0.74,5900,1.44,-5005,-1.22,80350,0.08,3
51,Exit long,2024-03-21,X,20774,1,407755,7725,1.89,10670,2.62,-3385,-0.83,88075,0.09,12
51,Entry long,2024-03-05,B=0|T=20240304T2300,20387.75,1,407755,7725,1.89,10670,2.62,-3385,-0.83,88075,0.09,12
52,Exit long,2024-03-25,X,20725.75,1,415480,-965,-0.23,1285,0.31,-2940,-0.71,87110,0.09,2
52,Entry long,2024-03-21,B=1|T=20240320T2200,20774,1,415480,-965,-0.23,1285,0.31,-2940,-0.71,87110,0.09,2
53,Exit long,2024-05-07,X,20411.75,1,414515,-6280,-1.52,2110,0.51,-28005,-6.76,80830,0.08,30
53,Entry long,2024-03-25,B=0|T=20240324T2200,20725.75,1,414515,-6280,-1.52,2110,0.51,-28005,-6.76,80830,0.08,30
54,Exit long,2024-05-08,X,20398.75,1,408235,-260,-0.06,855,0.21,-2540,-0.62,80570,0.08,1
54,Entry long,2024-05-07,B=1|T=20240506T2200,20411.75,1,408235,-260,-0.06,855,0.21,-2540,-0.62,80570,0.08,1
55,Exit long,2024-05-09,X,20426.75,1,407975,560,0.14,1075,0.26,-1655,-0.41,81130,0.08,1
55,Entry long,2024-05-08,B=0|T=20240507T2200,20398.75,1,407975,560,0.14,1075,0.26,-1655,-0.41,81130,0.08,1
56,Exit long,2024-05-10,X,20467.25,1,408535,810,0.20,2670,0.65,-520,-0.13,81940,0.08,1
56,Entry long,2024-05-09,B=1|T=20240508T2200,20426.75,1,408535,810,0.20,2670,0.65,-520,-0.13,81940,0.08,1
57,Exit long,2024-05-14,X,20627.25,1,409345,3200,0.78,3560,0.87,-1790,-0.44,85140,0.09,2
57,Entry long,2024-05-10,B=0|T=20240509T2200,20467.25,1,409345,3200,0.78,3560,0.87,-1790,-0.44,85140,0.09,2
58,Exit long,2024-07-24,X,21155.5,1,412545,10565,2.56,46175,11.19,-3475,-0.84,95705,0.10,48
58,Entry long,2024-05-14,B=1|T=20240513T2200,20627.25,1,412545,10565,2.56,46175,11.19,-3475,-0.84,95705,0.10,48
59,Exit long,2024-08-15,X,21533.5,1,423110,7560,1.79,10275,2.43,-37045,-8.76,103265,0.10,16
59,Entry long,2024-07-24,B=0|T=20240723T2200,21155.5,1,423110,7560,1.79,10275,2.43,-37045,-8.76,103265,0.10,16
60,Exit long,2024-09-06,X,20410.5,1,430670,-22460,-5.22,8880,2.06,-24830,-5.77,80805,0.08,15
60,Entry long,2024-08-15,B=1|T=20240814T2200,21533.5,1,430670,-22460,-5.22,8880,2.06,-24830,-5.77,80805,0.08,15
61,Exit long,2024-09-10,X,20816.25,1,408210,8115,1.99,8405,2.06,-1445,-0.35,88920,0.09,2
61,Entry long,2024-09-06,B=0|T=20240905T2200,20410.5,1,408210,8115,1.99,8405,2.06,-1445,-0.35,88920,0.09,2
62,Exit long,2024-11-27,X,22533,1,416325,34335,8.25,44890,10.78,-6340,-1.52,123255,0.12,56
62,Entry long,2024-09-10,B=1|T=20240909T2200,20816.25,1,416325,34335,8.25,44890,10.78,-6340,-1.52,123255,0.12,56
63,Exit long,2024-11-29,X,22713.5,1,450660,3610,0.80,4090,0.91,-150,-0.03,126865,0.13,1
63,Entry long,2024-11-27,B=0|T=20241126T2300,22533,1,450660,3610,0.80,4090,0.91,-150,-0.03,126865,0.13,1
64,Exit long,2024-12-19,X,22801.25,1,454270,1755,0.39,23180,5.10,-1070,-0.24,128620,0.13,14
64,Entry long,2024-11-29,B=1|T=20241127T2300,22713.5,1,454270,1755,0.39,23180,5.10,-1070,-0.24,128620,0.13,14
65,Exit long,2024-12-20,X,22988.75,1,456025,3750,0.82,8665,1.90,-7450,-1.63,132370,0.13,1
65,Entry long,2024-12-19,B=0|T=20241218T2300,22801.25,1,456025,3750,0.82,8665,1.90,-7450,-1.63,132370,0.13,1
66,Exit long,2024-12-31,X,22648.75,1,459775,-6800,-1.48,10895,2.37,-7690,-1.67,125570,0.13,6
66,Entry long,2024-12-20,B=1|T=20241219T2300,22988.75,1,459775,-6800,-1.48,10895,2.37,-7690,-1.67,125570,0.13,6
67,Exit long,2025-01-03,X,22938.75,1,452975,5800,1.28,6655,1.47,-4855,-1.07,131370,0.13,2
67,Entry long,2024-12-31,B=0|T=20241230T2300,22648.75,1,452975,5800,1.28,6655,1.47,-4855,-1.07,131370,0.13,2
68,Exit long,2025-01-07,X,22782,1,458775,-3135,-0.68,7605,1.66,-4740,-1.03,128235,0.13,2
68,Entry long,2025-01-03,B=1|T=20250102T2300,22938.75,1,458775,-3135,-0.68,7605,1.66,-4740,-1.03,128235,0.13,2
69,Exit long,2025-01-21,X,23131.75,1,455640,6995,1.54,8475,1.86,-13315,-2.92,135230,0.14,9
69,Entry long,2025-01-07,B=0|T=20250106T2300,22782,1,455640,6995,1.54,8475,1.86,-13315,-2.92,135230,0.14,9
70,Exit long,2025-01-27,X,22680.75,1,462635,-9020,-1.95,7680,1.66,-18915,-4.09,126210,0.13,4
70,Entry long,2025-01-21,B=1|T=20250119T2300,23131.75,1,462635,-9020,-1.95,7680,1.66,-18915,-4.09,126210,0.13,4
71,Exit long,2025-04-29,X,20857.75,1,453615,-36460,-8.04,21225,4.68,-100100,-22.07,89750,0.09,64
71,Entry long,2025-01-27,B=0|T=20250126T2300,22680.75,1,453615,-36460,-8.04,21225,4.68,-100100,-22.07,89750,0.09,64
72,Exit long,2025-08-01,X,23883,1,417155,60505,14.50,79730,19.11,-10765,-2.58,150255,0.15,65
72,Entry long,2025-04-29,B=1|T=20250428T2200,20857.75,1,417155,60505,14.50,79730,19.11,-10765,-2.58,150255,0.15,65
73,Exit long,2025-08-04,X,24295.75,1,477660,8255,1.73,9375,1.96,-1240,-0.26,158510,0.16,1
73,Entry long,2025-08-01,B=0|T=20250731T2200,23883,1,477660,8255,1.73,9375,1.96,-1240,-0.26,158510,0.16,1
74,Exit long,2025-08-05,X,24131.25,1,485915,-3290,-0.68,2155,0.44,-4240,-0.87,155220,0.16,1
74,Entry long,2025-08-04,B=1|T=20250803T2200,24295.75,1,485915,-3290,-0.68,2155,0.44,-4240,-0.87,155220,0.16,1
75,Exit long,2025-08-06,X,24422,1,482625,5815,1.20,6265,1.30,-1730,-0.36,161035,0.16,1
75,Entry long,2025-08-05,B=0|T=20250804T2200,24131.25,1,482625,5815,1.20,6265,1.30,-1730,-0.36,161035,0.16,1
76,Exit long,2025-08-15,X,24803.25,1,488440,7625,1.56,12915,2.64,-1875,-0.38,168660,0.17,7
76,Entry long,2025-08-06,B=1|T=20250805T2200,24422,1,488440,7625,1.56,12915,2.64,-1875,-0.38,168660,0.17,7
77,Exit long,2025-09-09,X,24873.25,1,496065,1400,0.28,2345,0.47,-15575,-3.14,170060,0.17,16
77,Entry long,2025-08-15,B=0|T=20250814T2200,24803.25,1,496065,1400,0.28,2345,0.47,-15575,-3.14,170060,0.17,16
78,Exit long,2025-10-10,X,25154.75,1,497465,5630,1.13,25570,5.14,-1780,-0.36,175690,0.18,23
78,Entry long,2025-09-09,B=1|T=20250908T2200,24873.25,1,497465,5630,1.13,25570,5.14,-1780,-0.36,175690,0.18,23
79,Exit long,2025-10-13,X,25680,1,503095,10505,2.09,11360,2.26,0,0.00,186195,0.19,1
79,Entry long,2025-10-10,B=0|T=20251009T2200,25154.75,1,503095,10505,2.09,11360,2.26,0,0.00,186195,0.19,1
80,Exit long,2025-10-14,X,25520.25,1,513600,-3195,-0.62,2440,0.48,-10025,-1.95,183000,0.18,1
80,Entry long,2025-10-13,B=1|T=20251012T2200,25680,1,513600,-3195,-0.62,2440,0.48,-10025,-1.95,183000,0.18,1
81,Exit long,2025-10-20,X,26063,1,510405,10855,2.13,11840,2.32,-7050,-1.38,193855,0.19,4
81,Entry long,2025-10-14,B=0|T=20251013T2200,25520.25,1,510405,10855,2.13,11840,2.32,-7050,-1.38,193855,0.19,4
82,Exit long,2025-10-22,X,25797,1,521260,-5320,-1.02,1255,0.24,-10010,-1.92,188535,0.19,2
82,Entry long,2025-10-20,B=1|T=20251019T2200,26063,1,521260,-5320,-1.02,1255,0.24,-10010,-1.92,188535,0.19,2
83,Exit long,2025-10-23,X,26011.75,1,515940,4295,0.83,5135,1.00,-2045,-0.40,192830,0.19,1
83,Entry long,2025-10-22,B=0|T=20251021T2200,25797,1,515940,4295,0.83,5135,1.00,-2045,-0.40,192830,0.19,1
84,Exit long,2025-11-13,X,25852.5,1,520235,-3185,-0.61,22900,4.40,-10895,-2.09,189645,0.19,15
84,Entry long,2025-10-23,B=1|T=20251022T2200,26011.75,1,520235,-3185,-0.61,22900,4.40,-10895,-2.09,189645,0.19,15
85,Exit long,2025-11-26,X,26060,1,517050,4150,0.80,5625,1.09,-23805,-4.60,193795,0.19,9
85,Entry long,2025-11-13,B=0|T=20251112T2300,25852.5,1,517050,4150,0.80,5625,1.09,-23805,-4.60,193795,0.19,9
86,Exit long,2025-12-17,X,25407,1,521200,-13060,-2.51,11370,2.18,-13280,-2.55,180735,0.18,14
86,Entry long,2025-11-26,B=1|T=20251125T2300,26060,1,521200,-13060,-2.51,11370,2.18,-13280,-2.55,180735,0.18,14
87,Exit long,2025-12-19,X,26083,1,508140,13520,2.66,14030,2.76,0,0.00,194255,0.19,2
87,Entry long,2025-12-17,B=0|T=20251216T2300,25407,1,508140,13520,2.66,14030,2.76,0,0.00,194255,0.19,2
88,Exit long,2026-01-02,X,25893.5,1,521660,-3790,-0.73,7210,1.38,-6190,-1.19,190465,0.19,8
88,Entry long,2025-12-19,B=1|T=20251218T2300,26083,1,521660,-3790,-0.73,7210,1.38,-6190,-1.19,190465,0.19,8
89,Exit long,2026-01-05,X,26086,1,517870,3850,0.74,6455,1.25,0,0.00,194315,0.19,1
89,Entry long,2026-01-02,B=0|T=20260101T2300,25893.5,1,517870,3850,0.74,6455,1.25,0,0.00,194315,0.19,1
90,Exit long,2026-01-20,X,25637.5,1,521720,-8970,-1.72,9355,1.79,-9650,-1.85,185345,0.19,10
90,Entry long,2026-01-05,B=1|T=20260104T2300,26086,1,521720,-8970,-1.72,9355,1.79,-9650,-1.85,185345,0.19,10
91,Exit long,2026-01-22,X,26166.5,1,512750,10580,2.06,12210,2.38,-2085,-0.41,195925,0.20,2
91,Entry long,2026-01-20,B=0|T=20260118T2300,25637.5,1,512750,10580,2.06,12210,2.38,-2085,-0.41,195925,0.20,2
92,Exit long,2026-01-30,X,26178.25,1,523330,235,0.04,13815,2.64,-5860,-1.12,196160,0.20,6
92,Entry long,2026-01-22,B=1|T=20260121T2300,26166.5,1,523330,235,0.04,13815,2.64,-5860,-1.12,196160,0.20,6
93,Exit long,2026-02-02,X,26358.25,1,523565,3600,0.69,5590,1.07,-9795,-1.87,199760,0.20,1
93,Entry long,2026-01-30,B=0|T=20260129T2300,26178.25,1,523565,3600,0.69,5590,1.07,-9795,-1.87,199760,0.20,1
94,Exit long,2026-02-03,X,25960.25,1,527165,-7960,-1.51,3555,0.67,-12620,-2.39,191800,0.19,1
94,Entry long,2026-02-02,B=1|T=20260201T2300,26358.25,1,527165,-7960,-1.51,3555,0.67,-12620,-2.39,191800,0.19,1
95,Exit long,2026-04-08,X,25367,1,519205,-11865,-2.29,1245,0.24,-54120,-10.42,179935,0.18,45
95,Entry long,2026-02-03,B=0|T=20260202T2300,25960.25,1,519205,-11865,-2.29,1245,0.24,-54120,-10.42,179935,0.18,45
96,Exit long,2026-06-24,X,29514.25,1,507340,82945,16.35,114670,22.60,-3395,-0.67,262880,0.26,53
96,Entry long,2026-04-08,B=1|T=20260407T2200,25367,1,507340,82945,16.35,114670,22.60,-3395,-0.67,262880,0.26,53
97,Exit long,2026-06-25,X,29724.75,1,590285,4210,0.71,14990,2.54,-4370,-0.74,267090,0.27,1
97,Entry long,2026-06-24,B=0|T=20260623T2200,29514.25,1,590285,4210,0.71,14990,2.54,-4370,-0.74,267090,0.27,1
98,Exit long,2026-06-26,X,29368.25,1,594495,-7130,-1.20,3360,0.57,-11285,-1.90,259960,0.26,1
98,Entry long,2026-06-25,B=1|T=20260624T2200,29724.75,1,594495,-7130,-1.20,3360,0.57,-11285,-1.90,259960,0.26,1
99,Exit long,2026-06-29,X,30052.75,1,587365,13690,2.33,14025,2.39,-1890,-0.32,273650,0.27,1
99,Entry long,2026-06-26,B=0|T=20260625T2200,29368.25,1,587365,13690,2.33,14025,2.39,-1890,-0.32,273650,0.27,1
100,Exit long,2026-07-02,X,29556,1,601055,-9935,-1.65,10940,1.82,-14485,-2.41,263715,0.26,3
100,Entry long,2026-06-29,B=1|T=20260628T2200,30052.75,1,601055,-9935,-1.65,10940,1.82,-14485,-2.41,263715,0.26,3
101,Exit long,2026-07-14,Open,29481,1,591120,-1500,-0.25,10760,1.82,-12925,-2.19,262215,0.26,7
101,Entry long,2026-07-02,B=0|T=20260701T2200,29556,1,591120,-1500,-0.25,10760,1.82,-12925,-2.19,262215,0.26,7