id,lockPct,recencyHours,totalTrades,winRate,profitFactor,sharpeRatio,maxDrawdownPct,totalPnL,avgWinnerMFE,avgProfitGiveBack,winnerCaptureRatio,beClipCount,mfeToSLCount,givebackDollarsWinners
struct-l55-r2h,0.55,2,188,68.09,1.93,2.96,7.94,60547,70.26,40.55,70.38,6,7,53268
struct-l55-r4h,0.55,4,195,71.28,1.97,2.94,8.84,57432,59.78,35.59,70.67,5,7,48748
struct-l55-r8h,0.55,8,200,73,1.77,2.26,9.81,43424,49.95,33.02,69.1,5,8,45062
struct-l65-r2h,0.65,2,190,68.95,2.07,3.33,7.24,68507,67.69,37.32,75.19,6,7,44002
struct-l65-r4h,0.65,4,197,72.08,1.94,2.81,8.48,54767,54.43,32.91,73.47,5,7,41015
struct-l65-r8h,0.65,8,203,73.4,1.71,2.11,8.82,40429,45.19,30.5,72.62,5,8,36874
struct-l75-r2h,0.75,2,191,68.59,2.08,3.44,7.4,69495,62.61,33.41,81.9,5,7,29697
struct-l75-r4h,0.75,4,199,71.86,1.93,2.89,8.02,53920,49.37,29.46,79.83,5,7,28483
struct-l75-r8h,0.75,8,205,73.17,1.69,2.12,8.38,39162,40.77,27.53,78.92,5,8,25789
struct-l85-r2h,0.85,2,193,68.39,2.07,3.46,7.13,68735,58.73,30.94,86.16,6,7,21467
struct-l85-r4h,0.85,4,199,71.36,1.93,2.91,8.17,53920,45.95,26.78,86.37,5,7,17785
struct-l85-r8h,0.85,8,206,72.82,1.67,2.06,9.4,38009,37.46,25.27,84.87,5,8,16998
struct-l95-r2h,0.95,2,193,68.39,2.08,3.52,6.99,69455,55.62,28.63,91.46,6,7,12540
struct-l95-r4h,0.95,4,199,71.36,1.96,2.98,8.06,55505,43.74,24.8,92.03,5,7,9900
struct-l95-r8h,0.95,8,206,72.82,1.69,2.13,9,39167,35.46,23.53,90.76,5,8,9831